protocol,target,method,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,A,causal_history_ml,ExtraTrees,ok,815,100,178,0.10332514061867637,0.09966563657765837,13.236913640574544,6.652773076943372,41.782879678808904
literature_2019_2020,B,causal_history_direct,CausalKNN12Median,ok,815,100,69,0.013366640418093212,-0.1370867308438115,2.1591858026580297,0.9439780000000002,129.75679084255995
literature_2019_2020,C,causal_history_ml,ExtraTrees,ok,815,100,178,-0.009013947803852007,-0.1541088137867479,52.63670414940742,26.945227285488595,38.35533259324232
literature_2019_2020,D,causal_history_ml,ExtraTrees,ok,815,100,178,0.09678203833274868,-0.041595020072286104,54.70806085784082,22.21889537034802,53.076711774037896
literature_2019_2020,E,causal_history_ml,ExtraTrees,ok,815,100,178,0.06769358943042147,0.08373681983129588,10.840438979992275,7.534437768805965,26.961816661717485
literature_2019_2020,F,causal_history_ml,LightGBM,ok,815,100,178,0.18864477565854432,0.33605707820326836,77.30770453870981,35.83908714520389,59.41174591885196
literature_2019_2020,G,causal_history_ml,HistGBR,ok,815,100,178,0.11153548895139731,0.082350883336745,117.44583713287902,48.014963208602005,39.84767889152078
literature_2019_2020,H,causal_history_ml,ExtraTrees,ok,815,100,178,0.6031996331293177,0.6165394044440651,0.2249090187438615,0.1017976006037649,88.27303653896911
temporal_2022_2026,A,causal_history_ml,ElasticNet,ok,938,34,178,0.17320707945578873,0.14432599621892916,17.463281967997972,7.587138726698809,56.17128667099853
temporal_2022_2026,B,causal_history_ml,ExtraTrees,ok,938,34,178,0.30781633187463164,0.10690678745356963,1.7110443761289598,0.9200920754012347,391.66858372173544
temporal_2022_2026,C,causal_history_ml,XGBoost,ok,938,34,178,0.05347408589957903,-0.12787411799856918,33.097666730220524,23.022144016041477,63.43418408820758
temporal_2022_2026,D,causal_history_ml,HistGBR,ok,938,34,178,0.3437965377677854,0.5234129240120051,40.82548905035798,15.892140621211508,27.934234975218658
temporal_2022_2026,E,causal_history_ml,LightGBM,ok,938,34,178,0.38813272616838035,0.27860021824044556,19.035022312658615,9.969631463369382,23.885945142091657
temporal_2022_2026,F,causal_history_ml,LightGBM,ok,938,34,178,0.34135468277579195,0.006358426527565575,65.2849807235738,39.7115529103262,30.939277523004634
temporal_2022_2026,G,causal_history_direct,CausalKNN12Median,ok,938,34,69,-0.04916275054111541,-0.16637971599337353,28.105216370547556,18.575764705882353,36.634417092340776
temporal_2022_2026,H,causal_history_direct,CausalRecentQ90,ok,938,34,69,-0.04749439979060366,-0.16448808118023917,0.24133589784413614,0.16957941176470595,408.6415316789868
