protocol,target,method,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,A,causal_history_direct,CausalKNN12IDW,ok,815,100,69,-1.5966560426231688,-0.5505788944977621,22.52560435695166,9.321857260539183,85.67798776709107
literature_2019_2020,A,causal_history_direct,CausalKNN12Median,ok,815,100,69,0.061894415018463045,0.04424265286079998,13.539265340482842,6.959919999999999,34.526729495857545
literature_2019_2020,A,causal_history_direct,CausalKNN30Q90,ok,815,100,69,-0.6485593195716011,-0.3622457930517562,17.948225949658656,10.305760000000006,68.12839846597751
literature_2019_2020,A,causal_history_direct,CausalKNN80Q95,ok,815,100,69,-2.9367396383763795,-1.6060795575058942,27.7356012770365,17.62682999999998,128.5685652635532
literature_2019_2020,A,causal_history_direct,CausalRecentQ90,ok,815,100,69,-0.23633760333168397,-0.9054135082261328,15.54310490056604,12.376030000000005,95.25906827673207
literature_2019_2020,A,causal_history_direct,CausalSameLastElseKNN12IDW,ok,815,100,69,-1.5949132120909741,-0.5399034676379604,22.51804369046927,9.288857260394144,85.18471422360557
literature_2019_2020,A,causal_history_direct,CausalSameMaxElseKNN30Q90,ok,815,100,69,-0.6485593195716011,-0.3622457930517562,17.948225949658656,10.305760000000006,68.12839846597751
literature_2019_2020,A,causal_history_direct,CausalHighGuard,ok,815,100,69,-3.4997249507726567,-2.361262139407964,29.65256201068466,21.122174999999984,160.47419476614584
literature_2019_2020,A,causal_history_ml,ElasticNet,ok,815,100,178,-0.19682160136684823,-0.3275682916282363,15.292692232137068,7.365655996569951,47.92939769154483
literature_2019_2020,A,causal_history_ml,ExtraTrees,ok,815,100,178,0.10332514061867637,0.09966563657765837,13.236913640574544,6.652773076943372,41.782879678808904
literature_2019_2020,A,causal_history_ml,HistGBR,ok,815,100,178,-0.08597715105587556,-0.1558283104214051,14.567317391342126,7.346510137671396,47.982042685423366
literature_2019_2020,A,causal_history_ml,XGBoost,ok,815,100,178,0.017574669785097252,-0.011503916242327161,13.855398288034221,6.806217274284363,45.86585888954011
literature_2019_2020,A,causal_history_ml,LightGBM,ok,815,100,178,0.02822171517546035,-0.015215635304866248,13.78011474467073,6.925180664259084,45.08000479031962
literature_2019_2020,B,causal_history_direct,CausalKNN12IDW,ok,815,100,69,-1.4123362579904213,-1.156600039972978,3.376222349077372,1.6988387876744204,351.12677049848696
