protocol,target,source,method,model,rule,n_train,n_test,cv,iqr_to_median,p95_to_median,quantile,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,A,distribution_guided_spatial_quantile,knn_spatial_quantile,KNN20_Q55,moderate_distribution_local_median_plus,815,100,1.5177608863444139,0.6572052401746727,2.25240174672489,0.55,0.0697055182782862,0.11376214202302026,13.482780405685057,6.7235055,33.65875526009632
literature_2019_2020,B,distribution_guided_spatial_quantile,grid_spatial_quantile,Grid2_Q96,high_cv_wide_iqr_upper_tail,815,100,4.274327891449258,2.0000000000000004,19.399999999999984,0.96,-4.829456107622849,-6.458069634198406,5.24839044905845,4.770261599999993,1654.3230458225864
literature_2019_2020,C,distribution_guided_spatial_quantile,knn_spatial_quantile,KNN12_Q25,low_cv_local_lower_quartile,815,100,0.5781385071121329,0.6492248062015503,1.860038759689922,0.25,-0.20922382532088357,-1.1842971892720455,57.62267970774398,30.230690000000003,42.05785037591167
literature_2019_2020,D,distribution_guided_spatial_quantile,knn_spatial_quantile,KNN20_Q55,moderate_distribution_local_median_plus,815,100,1.2941710281551504,0.5170731707317072,2.7484320557491264,0.55,-0.002127410686042497,-0.16689169763388967,57.625739184381835,22.790462,45.73112176817985
literature_2019_2020,E,distribution_guided_spatial_quantile,knn_spatial_quantile,KNN20_Q55,moderate_distribution_local_median_plus,815,100,0.9326068652217788,0.23896103896103904,1.4068181818181815,0.55,0.023813142682684862,0.019350025420771355,11.092616845451754,7.277260000000002,27.371794270520645
literature_2019_2020,F,distribution_guided_spatial_quantile,grid_spatial_quantile,Grid2_Q96,high_cv_wide_iqr_upper_tail,815,100,2.3938770456536673,1.2014104467539481,5.615130246996893,0.96,-10.844349512208764,-3.937004364505528,295.37440982139935,219.36575999999997,565.7277861248712
literature_2019_2020,G,distribution_guided_spatial_quantile,grid_spatial_quantile,Grid5_Q50,high_cv_compact_core_spatial_median,815,100,3.005459782417917,0.4511318242343543,3.48521970705725,0.5,-0.062030629961769224,-0.06432963986991358,128.40623332097238,43.41575999999999,26.807624665968955
literature_2019_2020,H,distribution_guided_spatial_quantile,grid_spatial_quantile,Grid5_Q50,high_cv_compact_core_spatial_median,815,100,2.2723651409659227,0.6555555555555556,3.922222222222217,0.5,-0.050492032750862004,-0.05570553937600775,0.3659461814256298,0.11013699999999998,41.331199698684934
temporal_2022_2026,A,distribution_guided_spatial_quantile,knn_spatial_quantile,KNN20_Q55,moderate_distribution_local_median_plus,938,34,1.416987263051089,0.6465811965811964,2.2713675213675204,0.55,0.07827204293051337,0.03350341425483638,18.43863943547944,7.379573529411765,48.60647272845691
temporal_2022_2026,B,distribution_guided_spatial_quantile,grid_spatial_quantile,Grid2_Q96,high_cv_wide_iqr_upper_tail,938,34,4.0369049991357135,2.1136363636363633,19.33568181818182,0.96,-12.379463885602412,-7.863374149305777,7.52263438857923,5.5287235294117485,3309.355819483518
temporal_2022_2026,C,distribution_guided_spatial_quantile,knn_spatial_quantile,KNN12_Q25,low_cv_local_lower_quartile,938,34,0.626976942618016,0.6439650993698497,1.8782937469704304,0.25,0.13107615922568427,0.06744501701004002,31.711879377897315,19.49072794117647,47.44753089087775
temporal_2022_2026,D,distribution_guided_spatial_quantile,knn_spatial_quantile,KNN20_Q55,moderate_distribution_local_median_plus,938,34,1.2794987877166117,0.5238095238095238,2.7889455782312913,0.55,-0.06961754520078167,-0.07995050179158958,52.1226390041575,18.61723676470588,27.480377635531262
temporal_2022_2026,E,distribution_guided_spatial_quantile,knn_spatial_quantile,KNN20_Q55,moderate_distribution_local_median_plus,938,34,0.8779874213001482,0.24634740259740254,1.4518831168831168,0.55,-0.08010358378817539,-0.03024008213918261,25.290503819150594,11.073588235294118,24.242351447599493
temporal_2022_2026,F,distribution_guided_spatial_quantile,grid_spatial_quantile,Grid2_Q96,high_cv_wide_iqr_upper_tail,938,34,3.675233716102979,1.4149246475449684,5.967914438502669,0.96,-5.7021454584294,-3.335927393615073,208.25450292364084,143.15389999999977,171.95810783120805
temporal_2022_2026,G,distribution_guided_spatial_quantile,grid_spatial_quantile,Grid5_Q50,high_cv_compact_core_spatial_median,938,34,2.879673270317533,0.44296268883572776,3.4125903702039357,0.5,0.2513522508853234,0.0014422092193348002,23.74128727864306,17.01658823529412,34.44281060133087
temporal_2022_2026,H,distribution_guided_spatial_quantile,grid_spatial_quantile,Grid5_Q50,high_cv_compact_core_spatial_median,938,34,2.4794038949379544,0.6527777777777778,4.044999999999998,0.5,-0.0005813196580106705,0.029613359315423193,0.23586976092252068,0.10376470588235295,137.63338004568766
