protocol,target,feature_set,method,model,status,n_train,n_validation,n_test,n_features,validation_r2,validation_rmse,validation_mae,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,A,external_covariates,distributional_robust,HistGBR_squared_yj,ok,815,267,100,112,0.038453166920233484,20.213802507825044,6.474439257048687,0.06999375043205869,-0.04486716239090671,13.480691566091668,6.713086775447996,41.07050315644477
literature_2019_2020,B,external_covariates,distributional_robust,ExtraTrees_qnormal,ok,815,267,100,112,-0.017537294643474866,5.997743842838939,1.3446046306174706,0.011891566247649421,0.06259095585223129,2.1607992539163274,0.8232308489212428,103.50742556821938
literature_2019_2020,C,external_covariates,distributional_robust,RF_yj,ok,815,267,100,112,-0.013802403752397385,42.69958884746949,24.842202767270877,0.052209741887388805,0.04129795975496087,51.014804127789645,24.60713038019849,38.01223429007408
literature_2019_2020,D,external_covariates,distributional_robust,ExtraTrees_qnormal,ok,815,267,100,112,0.07501969645837359,43.11828265528014,18.69745043472063,0.03544701997477262,-0.1076548059897946,56.53508925833491,22.54605747058167,47.28691868705395
literature_2019_2020,E,external_covariates,distributional_robust,ExtraTrees_yj,ok,815,267,100,112,-0.010139649552536323,52.57357073680725,10.55519990128946,0.06585881353623924,0.06802057544568163,10.851100710814674,7.383975102685123,26.812569639929272
literature_2019_2020,F,external_covariates,distributional_robust,ExtraTrees_yj,ok,815,267,100,112,0.08671754392946174,101.96339442803507,43.75975984933881,0.021749484031533428,0.23809227129603594,84.88721834803542,39.52195973210055,57.500278270915764
literature_2019_2020,G,external_covariates,distributional_robust,RF_yj,ok,815,267,100,112,0.010491569276114943,317.54160614896966,70.65768051282366,-0.02787273550797753,-0.0771771763680007,126.32440419432587,47.95885544569071,36.27061807132433
literature_2019_2020,H,external_covariates,distributional_robust,Poisson_raw,ok,815,267,100,112,0.14821645404369055,0.423934083719277,0.154002764968465,0.26718110623273705,0.21906075552247983,0.3056463171924401,0.1373948072493339,116.39996859799405
temporal_2022_2026,A,external_covariates,distributional_robust,HistGBR_absolute_yj,ok,938,245,34,112,0.06256666167575442,19.68763821069691,6.781647316241249,0.09815014899892427,0.19332676607915988,18.238730687552806,6.879959871079018,42.48787178887157
temporal_2022_2026,B,external_covariates,distributional_robust,Ridge_qnormal,ok,938,245,34,112,0.015148540442725622,6.114103350956647,1.6963191928934336,0.2883191454594288,0.14622257373135716,1.7349750769665893,0.7949154054775962,314.59742959398403
temporal_2022_2026,C,external_covariates,distributional_robust,HistGBR_squared_yj,ok,938,245,34,112,-0.01820217272140079,51.78764280975566,26.646672561128895,-0.029127096220344484,-0.3067409227373168,34.51164264394018,25.467140120037964,72.10617964109932
temporal_2022_2026,D,external_covariates,distributional_robust,ExtraTrees_yj,ok,938,245,34,112,0.03684141335410562,49.13538650976351,21.25771610991214,0.201620438402499,0.4046960533662882,45.03154446744208,15.065586943996099,25.576026532403706
temporal_2022_2026,E,external_covariates,distributional_robust,ExtraTrees_yj,ok,938,245,34,112,0.023238293971854174,28.585919619164105,9.754601408861202,0.41239160978632394,0.22375535864339657,18.6538625229028,9.677261082251924,24.308547891454733
temporal_2022_2026,F,external_covariates,distributional_robust,HistGBR_squared_yj,ok,938,245,34,112,-0.0006535271860192982,482.2564766840362,81.22522528642166,-0.3083380533930322,-1.3424293937671563,92.0126338624727,63.78419940235311,52.0018216676406
temporal_2022_2026,G,external_covariates,distributional_robust,RF_yj,ok,938,245,34,112,0.01696050490050849,330.34659381362803,76.46167065988293,-0.20323196387836862,-0.22393796108898734,30.098176304779766,22.0714911027372,40.889115631172196
temporal_2022_2026,H,external_covariates,distributional_robust,HistGBR_squared_yj,ok,938,245,34,112,0.018946759438757343,0.48998025550368457,0.12109023121976324,-0.01573083595614011,0.00390143071989979,0.23764867110456528,0.10613207515492974,141.99669428720844
