target,protocol,model,weight
A,temporal,XGBoost,0.34847967135744135
A,temporal,CatBoost,0.32787912205648323
A,temporal,LightGBM,0.32364120658607537
A,random,HistGBR,0.338053852871996
A,random,XGBoost,0.3350696749972074
A,random,ExtraTrees,0.3268764721307966
B,temporal,ElasticNet,0.33839895612252247
B,temporal,PLSR,0.33475363928602286
B,temporal,RF,0.32684740459145467
B,random,NGBoost,0.35758573087432693
B,random,ExtraTrees,0.3369476883441833
B,random,CatBoost,0.3054665807814898
C,temporal,CatBoost,0.33500104660479685
C,temporal,NGBoost,0.33338498488063134
C,temporal,ExtraTrees,0.33161396851457176
C,random,ExtraTrees,0.3392643847213645
C,random,CatBoost,0.3320012261790083
C,random,XGBoost,0.32873438909962727
D,temporal,ExtraTrees,0.3411512944774723
D,temporal,RF,0.33007415732400114
D,temporal,ElasticNet,0.32877454819852664
D,random,ExtraTrees,0.3364736237240597
D,random,XGBoost,0.3355198844450793
D,random,NGBoost,0.328006491830861
E,temporal,ElasticNet,0.33384619932801507
E,temporal,PLSR,0.3335659760169669
E,temporal,ExtraTrees,0.33258782465501807
E,random,PLSR,0.3338535908092001
E,random,ElasticNet,0.3334018615205921
E,random,CatBoost,0.3327445476702079
F,temporal,LightGBM,0.33540842304083707
F,temporal,HistGBR,0.33345445568383253
F,temporal,XGBoost,0.33113712127533035
F,random,HistGBR,0.33724531624112375
F,random,LightGBM,0.33336516150403384
F,random,CatBoost,0.3293895222548424
G,temporal,HistGBR,0.3403850954677935
G,temporal,NGBoost,0.3399104236046233
G,temporal,LightGBM,0.31970448092758313
G,random,CatBoost,0.33485081014002904
G,random,PLSR,0.33322695253520707
G,random,RF,0.3319222373247639
H,temporal,LightGBM,0.3472010106702126
H,temporal,ExtraTrees,0.3307517591204043
H,temporal,RF,0.32204723020938314
H,random,NGBoost,0.35310728631697025
H,random,XGBoost,0.33198616633094896
H,random,PLSR,0.3149065473520808
