feature_set,protocol,target,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
baseline,literature_2019_2020,A,ExtraTrees,ok,815,100,28,0.10314629743308423,0.07792336586951654,13.238233636193858,6.450882729420032,38.49828879751389
external_covariates,literature_2019_2020,A,ExtraTrees,ok,815,100,42,0.09968160158294914,0.10365640349150895,13.263779743058658,6.421033272792291,37.54814972707055
baseline,literature_2019_2020,B,PLSR,ok,815,100,28,0.041590321982617584,-0.003359037476672988,2.1280788400220074,0.983772852249528,235.23471194332836
external_covariates,literature_2019_2020,B,XGBoost,ok,815,100,42,0.0960225096717634,-0.05149637205979096,2.066764181719553,1.0000203803455832,225.485088382644
baseline,literature_2019_2020,C,HistGBR,ok,815,100,28,0.15222463233936356,0.08140128433026761,48.248131619567715,24.624840304251105,38.768125637723976
external_covariates,literature_2019_2020,C,XGBoost,ok,815,100,42,0.09905468637847592,0.09632924217666616,49.73811459098674,23.69387843841553,37.62490068175502
baseline,literature_2019_2020,D,HistGBR,ok,815,100,28,0.20247832892432693,-0.1861430924924099,51.40747643350627,24.537831165332115,63.37593714349271
external_covariates,literature_2019_2020,D,ExtraTrees,ok,815,100,42,0.11846459098115592,-0.12262257588394854,54.04741402437794,23.13223598102398,58.469994151045924
baseline,literature_2019_2020,E,RF,ok,815,100,28,0.10715794970182635,0.08881441047555094,10.608521282616513,7.413776815852197,27.399186387422635
external_covariates,literature_2019_2020,E,RF,ok,815,100,42,0.13461312267640035,0.10815901654982296,10.444140044181843,7.2002468824032455,26.674726974787454
baseline,literature_2019_2020,F,XGBoost,ok,815,100,28,0.1028483466874236,0.2665694592506146,81.29244588787594,37.55217211608886,58.88879427387661
external_covariates,literature_2019_2020,F,CatBoost,ok,815,100,42,0.13035449877869776,0.2976329605896557,80.03655498321167,37.29128958178237,60.049297445420336
baseline,literature_2019_2020,G,CatBoost,ok,815,100,28,-0.011846106672083856,-0.007651121824551188,125.33570776816286,49.236102846598115,37.02019725827784
external_covariates,literature_2019_2020,G,ExtraTrees,ok,815,100,42,0.013392836508152484,-0.059211359230501026,123.76268353290473,48.03791003642394,40.02040897889039
baseline,literature_2019_2020,H,RF,ok,815,100,28,0.4234550387085234,0.4193783180570465,0.2711049384504586,0.11734962310584443,88.42645304150848
external_covariates,literature_2019_2020,H,HistGBR,ok,815,100,42,0.49227149052040997,0.4951399664601571,0.25441142666136174,0.11643865645335039,98.42398453186495
baseline,temporal_2022_2026,A,LightGBM,ok,938,34,28,0.26842434343636945,0.080937157027271,16.426956781879202,7.762049405850758,56.76266957240098
external_covariates,temporal_2022_2026,A,HistGBR,ok,938,34,42,0.2756597198867775,0.23211715362971252,16.34552258518465,6.867227853478993,48.22326413831211
baseline,temporal_2022_2026,B,ElasticNet,ok,938,34,28,-0.06037146472178789,-0.15835085368443624,2.1177740148133175,1.0192297918664384,404.7488700684524
external_covariates,temporal_2022_2026,B,LightGBM,ok,938,34,42,0.15429188621127732,-0.009526124395224045,1.8913018518085918,0.8984757956817854,369.6555544205499
baseline,temporal_2022_2026,C,XGBoost,ok,938,34,28,0.003233364315374021,-0.17693176222956675,33.964706855234446,21.97187142226275,58.233028838526316
external_covariates,temporal_2022_2026,C,NGBoost,ok,938,34,42,-0.021720980113043353,-0.21966799413262006,34.387236850374286,22.613882420381678,62.16715191491436
baseline,temporal_2022_2026,D,NGBoost,ok,938,34,28,0.25284542089913775,0.4670451962397444,43.56295869664848,15.81514837507352,26.66207150969044
external_covariates,temporal_2022_2026,D,HistGBR,ok,938,34,42,0.2738629131938727,0.44378390949427793,42.94587408165429,15.721180275799751,26.95578593383601
baseline,temporal_2022_2026,E,PLSR,ok,938,34,28,0.3449180557023108,0.29514408103513745,19.695753137850637,9.955407216682822,25.151566910573003
external_covariates,temporal_2022_2026,E,ExtraTrees,ok,938,34,42,0.48874736163757637,0.2717667207626726,17.399731984607786,8.888919012571323,24.221886332140798
baseline,temporal_2022_2026,F,ElasticNet,ok,938,34,28,0.03710023134875018,-1.0727937957026787,78.93652745484182,51.047347031294294,37.83109815734696
external_covariates,temporal_2022_2026,F,LightGBM,ok,938,34,42,0.23367081727909833,-0.6457497523237188,70.41986013279895,52.6462209980052,46.89243364890417
baseline,temporal_2022_2026,G,PLSR,ok,938,34,28,0.11308746627889066,-0.18891812063336078,25.840796608068377,20.383590330658194,41.11350703143138
external_covariates,temporal_2022_2026,G,NGBoost,ok,938,34,42,0.005100433608242305,-0.13031901701065074,27.368760073610602,20.90391034327537,39.464347033701884
baseline,temporal_2022_2026,H,CatBoost,ok,938,34,28,0.011911747253158689,0.021580148809103306,0.2343926232726224,0.11907605984492378,213.07050838195912
external_covariates,temporal_2022_2026,H,NGBoost,ok,938,34,42,0.04900557628983804,0.09687385042600127,0.22995086985696242,0.10431664292235879,169.31537589044046
