feature_set,protocol,target,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
baseline,literature_2019_2020,A,ExtraTrees,ok,815,100,28,0.10314629743308423,0.07792336586951631,13.238233636193858,6.450882729420032,38.498288797513894
external_covariates,literature_2019_2020,A,ElasticNet,ok,815,100,82,0.04718526415057955,0.08281738396737914,13.644997843605912,6.52843546549631,44.01035086296802
baseline,literature_2019_2020,B,ElasticNet,ok,815,100,28,0.03515651178318613,0.009037405979723245,2.1352097958237435,0.9708970692421558,224.26329583917143
external_covariates,literature_2019_2020,B,XGBoost,ok,815,100,82,0.062447119661242834,-0.07792260182258293,2.10479597394598,0.9964319473481179,223.64267554082753
baseline,literature_2019_2020,C,HistGBR,ok,815,100,28,0.15222463233936356,0.08140128433026761,48.248131619567715,24.624840304251105,38.768125637723976
external_covariates,literature_2019_2020,C,HistGBR,ok,815,100,82,0.07223126511995681,0.015003700265818765,50.47309887986082,24.973176625858873,39.377030645648446
baseline,literature_2019_2020,D,HistGBR,ok,815,100,28,0.20247832892432693,-0.1861430924924099,51.40747643350627,24.537831165332115,63.37593714349271
external_covariates,literature_2019_2020,D,LightGBM,ok,815,100,82,0.08164600457125049,-0.3052886376354038,55.16455237438089,25.368150112821468,75.9826959651539
baseline,literature_2019_2020,E,ExtraTrees,ok,815,100,28,0.09974831058011946,0.09414332933187697,10.652450050532149,7.674634954289141,27.82611615150169
external_covariates,literature_2019_2020,E,ExtraTrees,ok,815,100,82,0.07955875817675517,0.04719375566972561,10.77123667727954,7.449398805380754,28.03930314891476
baseline,literature_2019_2020,F,XGBoost,ok,815,100,28,0.1028483466874236,0.2665694592506146,81.29244588787594,37.55217211608886,58.88879427387661
external_covariates,literature_2019_2020,F,XGBoost,ok,815,100,82,0.10785182190892595,0.23324736250157774,81.06544221751756,38.529085945892334,63.880362690035184
baseline,literature_2019_2020,G,ExtraTrees,ok,815,100,28,-0.028663783046465108,-0.11797079854501447,126.37300427230653,50.6551048841011,40.69671346025386
external_covariates,literature_2019_2020,G,XGBoost,ok,815,100,82,0.02982526768454674,-0.03928339436725081,122.72769145125656,50.675428936157225,40.72043761090817
baseline,literature_2019_2020,H,HistGBR,ok,815,100,28,0.4069719912019848,0.42598878944167906,0.2749529863781519,0.11729767055593653,84.7108976617761
external_covariates,literature_2019_2020,H,ExtraTrees,ok,815,100,82,0.5105851216334321,0.5455954613310906,0.24978101279906276,0.10430369033112791,79.86434088990164
baseline,temporal_2021_2026,A,LightGBM,ok,915,57,28,0.2645018258554941,0.15025401651605685,13.911134179363685,7.52808028071739,51.188661584218345
external_covariates,temporal_2021_2026,A,LightGBM,ok,915,57,82,0.3559395832302198,0.3378233184401457,13.017723551855783,6.382051814751802,40.556702751362
baseline,temporal_2021_2026,B,ElasticNet,ok,915,57,28,0.4412719531887863,0.2890797889040265,2.6850233109202963,1.3451517030951257,366.4735840460662
external_covariates,temporal_2021_2026,B,ElasticNet,ok,915,57,82,0.4942725575127599,0.3359333508330947,2.554501044410177,1.2636458752905844,362.787908268328
baseline,temporal_2021_2026,C,ExtraTrees,ok,915,57,28,-0.07525361398287611,-0.46941790148120766,37.55490514865702,27.935816310896328,80.98629839568193
external_covariates,temporal_2021_2026,C,ExtraTrees,ok,915,57,82,-0.05934535457066592,-0.43708883551711164,37.27605957945538,27.88723090810796,80.60419083430162
baseline,temporal_2021_2026,D,ElasticNet,ok,915,57,28,0.174193793434408,0.25928502544031085,39.05951930818362,15.964361281585706,35.41997235195283
external_covariates,temporal_2021_2026,D,ElasticNet,ok,915,57,82,0.20261407165120737,0.302171512666348,38.381514412946274,15.360117057180757,33.59012033934569
baseline,temporal_2021_2026,E,ElasticNet,ok,915,57,28,0.27282130962747975,0.18596809830811745,16.88186864419862,8.462057520637467,25.58301378573719
external_covariates,temporal_2021_2026,E,LightGBM,ok,915,57,82,0.54656182297403,0.2914925546571355,13.330885131052888,7.593433830458509,23.53458312911728
baseline,temporal_2021_2026,F,HistGBR,ok,915,57,28,-0.01983552781710385,-0.32546869022189684,969.8784534193396,211.01992215464537,60.63075853821179
external_covariates,temporal_2021_2026,F,HistGBR,ok,915,57,82,-0.02031818040423361,-0.3672241847063884,970.107931094676,216.23064596516357,69.97139672148471
baseline,temporal_2021_2026,G,ExtraTrees,ok,915,57,28,-1.762321989062432,-1.0047658074420829,65.70912169492128,42.08971793830475,66.53826190199229
external_covariates,temporal_2021_2026,G,LightGBM,ok,915,57,82,-3.934307557800312,-1.3188304045531334,87.8216555422697,48.44319710890104,73.2344382634036
baseline,temporal_2021_2026,H,LightGBM,ok,915,57,28,0.04776941506220023,0.07177664943739104,0.7762015575575238,0.2144831131705966,173.76103232184818
external_covariates,temporal_2021_2026,H,HistGBR,ok,915,57,82,0.09608416381667872,0.1851518737305069,0.7562535810123121,0.1984498222635425,166.06380729950794
