feature_set,protocol,target,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
baseline,literature_2019_2020,A,ExtraTrees,ok,815,100,28,0.10314629743308423,0.07792336586951654,13.238233636193858,6.450882729420032,38.49828879751389
external_covariates,literature_2019_2020,A,ExtraTrees,ok,815,100,112,0.09846209097821845,0.09980167095806758,13.272759814048532,6.2240365257638235,39.48754317099965
baseline,literature_2019_2020,B,ElasticNet,ok,815,100,28,0.03515651178318613,0.009037405979723245,2.1352097958237435,0.9708970692421558,224.26329583917143
external_covariates,literature_2019_2020,B,XGBoost,ok,815,100,112,0.011070297292649856,-0.1034129534196444,2.1616970444307366,0.992352555987835,219.58267021455708
baseline,literature_2019_2020,C,HistGBR,ok,815,100,28,0.15222463233936356,0.08140128433026761,48.248131619567715,24.624840304251105,38.768125637723976
external_covariates,literature_2019_2020,C,HistGBR,ok,815,100,112,0.07302206594070304,0.04267891817622782,50.45158345498159,24.44142692428929,37.55087273692712
baseline,literature_2019_2020,D,HistGBR,ok,815,100,28,0.20247832892432693,-0.1861430924924099,51.40747643350627,24.537831165332115,63.37593714349271
external_covariates,literature_2019_2020,D,LightGBM,ok,815,100,112,0.06164951544733077,-0.3362470124640984,55.76190213832398,25.854727043334947,78.40371419741774
baseline,literature_2019_2020,E,ExtraTrees,ok,815,100,28,0.09974831058011979,0.0941433293318773,10.652450050532147,7.674634954289141,27.82611615150169
external_covariates,literature_2019_2020,E,ExtraTrees,ok,815,100,112,0.09109727915775667,0.07809286198999021,10.703510407807258,7.412517991890113,27.30139367628234
baseline,literature_2019_2020,F,XGBoost,ok,815,100,28,0.1028483466874236,0.2665694592506146,81.29244588787594,37.55217211608886,58.88879427387661
external_covariates,literature_2019_2020,F,XGBoost,ok,815,100,112,0.09128255312585076,0.24567676473955158,81.81476605128485,38.31704371566773,60.85887823172356
baseline,literature_2019_2020,G,ExtraTrees,ok,815,100,28,-0.028663783046465108,-0.11797079854501447,126.37300427230653,50.6551048841011,40.69671346025386
external_covariates,literature_2019_2020,G,ExtraTrees,ok,815,100,112,0.029835794238882274,-0.02947988030740456,122.72702564169987,48.10389196394009,40.259745588853974
baseline,literature_2019_2020,H,HistGBR,ok,815,100,28,0.4069719912019848,0.42598878944167906,0.2749529863781519,0.11729767055593653,84.7108976617761
external_covariates,literature_2019_2020,H,ExtraTrees,ok,815,100,112,0.5305949369504224,0.5650300190175589,0.244621555305303,0.10346615394461348,83.78850184879923
baseline,temporal_2021_2026,A,LightGBM,ok,915,57,28,0.2645018258554941,0.15025401651605685,13.911134179363685,7.52808028071739,51.188661584218345
external_covariates,temporal_2021_2026,A,HistGBR,ok,915,57,112,0.24782774879135183,0.24939232716917614,14.067936325307418,6.7082113790752835,42.76272838066215
baseline,temporal_2021_2026,B,ElasticNet,ok,915,57,28,0.4412719531887863,0.2890797889040265,2.6850233109202963,1.3451517030951257,366.4735840460662
external_covariates,temporal_2021_2026,B,ExtraTrees,ok,915,57,112,0.4576182514686188,0.27324222702449674,2.6454548737115395,1.2899080933156206,367.85184411077455
baseline,temporal_2021_2026,C,ExtraTrees,ok,915,57,28,-0.07525361398287589,-0.46941790148120743,37.554905148657014,27.935816310896328,80.98629839568191
external_covariates,temporal_2021_2026,C,LightGBM,ok,915,57,112,-0.02638228574389001,-0.38685079218197305,36.691527143118854,27.70799072195644,79.4195400819523
baseline,temporal_2021_2026,D,ElasticNet,ok,915,57,28,0.174193793434408,0.25928502544031085,39.05951930818362,15.964361281585706,35.41997235195283
external_covariates,temporal_2021_2026,D,ExtraTrees,ok,915,57,112,0.24655846225655287,0.31370695897349443,37.30891357649426,15.45006940008052,35.09198509259836
baseline,temporal_2021_2026,E,ElasticNet,ok,915,57,28,0.27282130962747975,0.18596809830811745,16.88186864419862,8.462057520637467,25.58301378573719
external_covariates,temporal_2021_2026,E,XGBoost,ok,915,57,112,0.5342752799006862,0.26676093042642357,13.5102874748399,7.225095006842363,23.142537687599628
baseline,temporal_2021_2026,F,HistGBR,ok,915,57,28,-0.01983552781710385,-0.32546869022189684,969.8784534193396,211.01992215464537,60.63075853821179
external_covariates,temporal_2021_2026,F,HistGBR,ok,915,57,112,-0.018313321900497614,-0.3329363753055472,969.1543631160649,212.12864635549738,63.10578981000896
baseline,temporal_2021_2026,G,ExtraTrees,ok,915,57,28,-1.7623219890624306,-1.0047658074420824,65.70912169492127,42.08971793830474,66.53826190199226
external_covariates,temporal_2021_2026,G,LightGBM,ok,915,57,112,-3.881267770768324,-1.427594804471111,87.34837462866535,50.28935132650913,75.77342449385415
baseline,temporal_2021_2026,H,LightGBM,ok,915,57,28,0.04776941506220023,0.07177664943739104,0.7762015575575238,0.2144831131705966,173.76103232184818
external_covariates,temporal_2021_2026,H,HistGBR,ok,915,57,112,0.10532744964118568,0.19158889654156597,0.7523769865343057,0.2032108347575695,176.03497907702618
