feature_set,protocol,target,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
baseline,literature_2019_2020,A,RF,ok,815,100,28,-0.034999463825876154,-0.0797047335409089,14.221300104427057,6.877524889621724,44.355865246313314
baseline,literature_2019_2020,A,ExtraTrees,ok,815,100,28,0.10314629743308423,0.07792336586951654,13.238233636193858,6.450882729420032,38.49828879751389
baseline,literature_2019_2020,A,HistGBR,ok,815,100,28,-0.10187543921459907,-0.23112457855902502,14.673559930889901,7.606885884177512,47.23585335883372
baseline,literature_2019_2020,A,ElasticNet,ok,815,100,28,0.08415205341600773,0.08751589063670817,13.37768380677891,6.555169920254858,43.99043514971868
baseline,literature_2019_2020,A,PLSR,ok,815,100,28,0.09200212399473329,0.05803244188260015,13.320227891591903,6.820557946418608,46.91570679655512
baseline,literature_2019_2020,A,XGBoost,ok,815,100,28,0.09701411372229918,0.06275764338283873,13.283414354179737,6.617646914787292,38.94035039245595
baseline,literature_2019_2020,A,LightGBM,ok,815,100,28,-0.12794459433803818,-0.19913239978749298,14.846125326434004,7.4616679408754525,48.07617715314763
baseline,literature_2019_2020,A,CatBoost,ok,815,100,28,0.10155687980429129,0.09870491087576638,13.249958941991332,6.44163401591885,38.14957952239842
baseline,literature_2019_2020,A,NGBoost,ok,815,100,28,0.0033081345225821623,-0.012574326034964667,13.955638002291824,6.683123556797305,44.16617472528161
baseline,literature_2019_2020,B,RF,ok,815,100,28,-0.04227259251506976,-0.23553527953835607,2.2192323628156183,1.0691151247703812,278.21943872819736
baseline,literature_2019_2020,B,ExtraTrees,ok,815,100,28,-0.024931816803672735,-0.21185058317104044,2.2006937279748575,1.0942050016324476,274.26411824780325
baseline,literature_2019_2020,B,HistGBR,ok,815,100,28,-0.05408045560047814,-0.3669433501643504,2.2317677553859414,1.1501560703455063,314.28236960708654
baseline,literature_2019_2020,B,ElasticNet,ok,815,100,28,0.03515651178318613,0.009037405979723245,2.1352097958237435,0.9708970692421558,224.26329583917143
baseline,literature_2019_2020,B,PLSR,ok,815,100,28,0.041590321982617584,-0.003359037476672988,2.1280788400220074,0.983772852249528,235.23471194332836
baseline,literature_2019_2020,B,XGBoost,ok,815,100,28,-0.012239727861549143,-0.16708348233157055,2.1870253010974525,1.046918763998747,247.19449750488937
baseline,literature_2019_2020,B,LightGBM,ok,815,100,28,-0.1706219759780474,-0.4143415195267408,2.3519086780944827,1.1811643338184254,294.87328200719713
baseline,literature_2019_2020,B,CatBoost,ok,815,100,28,0.008222545625557687,-0.0863232770957778,2.1648072508392433,0.9837149940397871,216.44721851324073
baseline,literature_2019_2020,B,NGBoost,ok,815,100,28,-1.104491540949903,-0.4315147949818583,3.1534482647282895,1.222098218705641,337.48818328498135
baseline,literature_2019_2020,C,RF,ok,815,100,28,0.044175359529459834,-0.029682922942079637,51.23057311396061,24.94512648530722,37.70582700126878
baseline,literature_2019_2020,C,ExtraTrees,ok,815,100,28,0.059994045007195074,0.11539005705835159,50.80487716997948,24.0274287097424,35.815737140575905
baseline,literature_2019_2020,C,HistGBR,ok,815,100,28,0.15222463233936356,0.08140128433026761,48.248131619567715,24.624840304251105,38.768125637723976
baseline,literature_2019_2020,C,ElasticNet,ok,815,100,28,-0.031832458166112465,-0.00506788973292549,53.228557378218795,24.387682424754598,34.67068218888994
baseline,literature_2019_2020,C,PLSR,ok,815,100,28,-0.03130697770399138,-0.02348079341928866,53.2150018204576,24.635263683790576,35.70989963903043
baseline,literature_2019_2020,C,XGBoost,ok,815,100,28,0.06110163901274113,0.06047484752958909,50.77493706016572,24.15613621795654,37.554864388274495
baseline,literature_2019_2020,C,LightGBM,ok,815,100,28,0.1280001103136349,0.028636013704088747,48.93260292445716,24.543060972864545,37.930803674887436
baseline,literature_2019_2020,C,CatBoost,ok,815,100,28,0.07177780319798854,0.12518821321322504,50.48543214329939,23.478405028061058,36.10767819190217
baseline,literature_2019_2020,C,NGBoost,ok,815,100,28,0.023112203035238088,-0.021882748978109934,51.79197179402188,25.05267199525021,38.11071164534513
baseline,literature_2019_2020,D,RF,ok,815,100,28,0.0987859659791237,-0.19255236674868748,54.64733804444773,23.644259027661644,58.80919692223232
baseline,literature_2019_2020,D,ExtraTrees,ok,815,100,28,0.15515673120614137,-0.11662941193944376,52.910651937971494,23.191682870780742,57.75969810161673
baseline,literature_2019_2020,D,HistGBR,ok,815,100,28,0.20247832892432693,-0.1861430924924099,51.40747643350627,24.537831165332115,63.37593714349271
baseline,literature_2019_2020,D,ElasticNet,ok,815,100,28,0.05428298079021587,-0.11153092911692553,55.98035406409817,23.174560921238125,61.55096499411103
baseline,literature_2019_2020,D,PLSR,ok,815,100,28,0.005793352709495325,-0.14457523241294634,57.39755195887752,23.676085449983553,64.9806007802358
baseline,literature_2019_2020,D,XGBoost,ok,815,100,28,0.07821479793041808,-0.21757578459987115,55.267510769674885,24.297779994506833,63.606809403301824
baseline,literature_2019_2020,D,LightGBM,ok,815,100,28,0.12280636436176184,-0.24395827132427073,53.91415149399818,24.855357860685814,64.00538806171181
baseline,literature_2019_2020,D,CatBoost,ok,815,100,28,0.0738254296187677,-0.08289156911242634,55.39894125589643,22.841340677348004,52.6719484621054
