protocol,target,baseline,external_covariates,delta_r2
literature_2019_2020,A,0.10314629743308423,0.09968160158294914,-0.003464695850135091
literature_2019_2020,B,0.041590321982617584,0.0960225096717634,0.05443218768914582
literature_2019_2020,C,0.15222463233936356,0.09905468637847592,-0.05316994596088764
literature_2019_2020,D,0.20247832892432693,0.11846459098115592,-0.08401373794317102
literature_2019_2020,E,0.10715794970182635,0.13461312267640035,0.027455172974574005
literature_2019_2020,F,0.1028483466874236,0.13035449877869776,0.02750615209127416
literature_2019_2020,G,-0.011846106672083856,0.013392836508152484,0.02523894318023634
literature_2019_2020,H,0.4234550387085234,0.49227149052040997,0.06881645181188656
temporal_2022_2026,A,0.26842434343636945,0.2756597198867775,0.00723537645040806
temporal_2022_2026,B,-0.06037146472178789,0.15429188621127732,0.2146633509330652
temporal_2022_2026,C,0.003233364315374021,-0.021720980113043353,-0.024954344428417374
temporal_2022_2026,D,0.25284542089913775,0.2738629131938727,0.02101749229473493
temporal_2022_2026,E,0.3449180557023108,0.48874736163757637,0.14382930593526555
temporal_2022_2026,F,0.03710023134875018,0.23367081727909833,0.19657058593034815
temporal_2022_2026,G,0.11308746627889066,0.005100433608242305,-0.10798703267064835
temporal_2022_2026,H,0.011911747253158689,0.04900557628983804,0.03709382903667935
