lon,lat,year,target,observed,predicted,tier,selected_model,abs_error,sq_error,sq_error_share
111.536729,24.341515,2022,A,122.35,79.62000000000005,publication_grade,Grid6_Q90,42.72999999999995,1825.8528999999955,0.45494865718827987
105.360106,27.336948,2023,A,13.2,36.220000000000006,publication_grade,Grid6_Q90,23.020000000000007,529.9204000000003,0.13204052440187097
112.49,37.55,2024,A,1.92,19.588,publication_grade,Grid6_Q90,17.668,312.15822399999996,0.07778061684984514
112.4539,34.6197,2022,A,5.44,17.939999999999998,publication_grade,Grid6_Q90,12.499999999999996,156.24999999999991,0.0389328886711897
118.0,31.75,2025,A,27.9,16.660000000000004,publication_grade,Grid6_Q90,11.239999999999995,126.33759999999988,0.03147960138102588
111.621655,27.881375,2023,A,16.52,27.4,publication_grade,Grid6_Q90,10.879999999999999,118.37439999999998,0.02949540695500083
112.85,35.49,2022,A,8.96,19.588,publication_grade,Grid6_Q90,10.628,112.954384,0.028144898926046807
113.3,40.09,2022,A,9.19,19.588,publication_grade,Grid6_Q90,10.398000000000001,108.11840400000003,0.026939915431927773
104.161165,36.599898,2022,B,12.0,4.121080546298717,publication_grade,GateQ90_P90_pow1,7.878919453701283,62.07737175791253,0.7886089401890122
111.621655,27.881375,2023,B,0.45,2.5866068924055083,publication_grade,GateQ90_P90_pow1,2.136606892405508,4.565089012674723,0.05799327365522758
113.0381,33.3216,2023,B,2.6,0.632312089308338,publication_grade,GateQ90_P90_pow1,1.967687910691662,3.8717957138821184,0.049185921183329616
118.0,31.75,2025,B,1.93,0.4598296975598945,publication_grade,GateQ90_P90_pow1,1.4701703024401054,2.161400718176831,0.02745766905745234
80.5515,44.20251,2023,B,0.239,1.5283874938068878,publication_grade,GateQ90_P90_pow1,1.2893874938068879,1.6625201091856074,0.021120066526989677
110.828,24.832,2024,B,1.28,2.2011780516339714,publication_grade,GateQ90_P90_pow1,0.9211780516339714,0.8485690028121596,0.010779920010058217
111.536729,24.341515,2022,B,2.37,1.5324746492068213,publication_grade,GateQ90_P90_pow1,0.8375253507931788,0.7014487132212373,0.008910955967781256
118.45,31.2128,2022,B,0.133,0.895979701980748,publication_grade,GateQ90_P90_pow1,0.7629797019807479,0.5821380256346309,0.007395275257943487
105.424,33.563,2023,C,184.61,64.934,publication_grade,KNN12_Q20,119.67600000000002,14322.344976000004,0.42365406160928504
104.161165,36.599898,2022,C,132.0,34.944,publication_grade,KNN12_Q20,97.056,9419.867135999999,0.2786390761201158
118.0,31.75,2025,C,96.7,32.84,publication_grade,KNN12_Q20,63.86,4078.0996,0.12062992911302713
105.97,31.5148,2023,C,24.736,62.312,publication_grade,KNN12_Q20,37.57599999999999,1411.9557759999996,0.04176556285422974
113.0381,33.3216,2023,C,67.26,40.080000000000005,publication_grade,KNN12_Q20,27.18,738.7524,0.021852249426198088
111.536729,24.341515,2022,C,69.4,45.44,publication_grade,KNN12_Q20,23.960000000000008,574.0816000000004,0.016981297541897516
