target,subset,n,r2,rmse,mae,obs_max,obs_p95
A,all,34,0.6799856172470193,10.864562448215592,7.457558823529411,122.35,27.262999999999998
A,drop_top_obs_1,33,-1.0466037400085084,8.141668886510663,6.388696969696971,27.9,24.573999999999995
A,drop_top_obs_2,32,-1.3998591508437968,8.025595547411108,6.2370937500000005,26.92,22.4138
A,drop_top_obs_3,31,-1.9947826696470958,8.009824379895868,6.164096774193551,23.01,20.713
A,obs_le_p95,32,-1.3998591508437968,8.025595547411108,6.237093750000001,26.92,22.4138
A,obs_le_p98,33,-1.0466037400085084,8.141668886510661,6.38869696969697,27.9,24.573999999999995
B,all,34,0.4526167423844467,1.5215854757796996,0.6897384065399956,12.0,2.4504999999999995
B,drop_top_obs_1,33,-0.13464238190012634,0.7101043134129735,0.47188443541389613,2.6,2.1059999999999994
B,drop_top_obs_2,32,-0.2813011240490466,0.6316741835128575,0.4251405768114659,2.37,1.5724999999999996
B,drop_top_obs_3,31,-1.0272578467021622,0.623904047071319,0.41183784216689456,1.93,1.205
B,obs_le_p95,32,-0.2813011240490466,0.6316741835128575,0.4251405768114659,2.37,1.5724999999999996
B,obs_le_p98,33,-0.13464238190012656,0.7101043134129735,0.471884435413896,2.6,2.1059999999999994
C,all,34,0.14086464750193262,31.532755210005323,18.463811764705884,184.61,109.05499999999992
C,drop_top_obs_1,33,-0.04545595319186169,24.29886714067139,15.396775757575758,132.0,80.31999999999996
C,drop_top_obs_2,32,-0.045442862772600456,17.734576068516553,12.844925,96.7,68.223
C,drop_top_obs_3,31,-0.036753189808468756,13.896375051302108,11.199277419354841,69.4,64.935
C,obs_le_p95,32,-0.045442862772600234,17.734576068516553,12.844925000000002,96.7,68.223
C,obs_le_p98,33,-0.04545595319186213,24.298867140671394,15.396775757575758,132.0,80.31999999999996
D,all,34,0.36949224277685533,40.01818192378677,17.28958823529412,311.0,92.42999999999988
D,drop_top_obs_1,33,0.36730891165743007,15.78690104552544,11.298363636363636,130.0,60.85399999999997
D,drop_top_obs_2,32,-0.25519495344400456,12.37191937349961,9.849093750000002,72.2,52.047
D,drop_top_obs_3,31,-1.096502576437894,12.546437858752913,10.028983870967744,53.29,50.58
D,obs_le_p95,32,-0.255194953444005,12.371919373499612,9.849093750000002,72.2,52.047
D,obs_le_p98,33,0.36730891165743007,15.786901045525438,11.298363636363636,130.0,60.85399999999997
E,all,34,0.6366777251281004,14.667996240763237,8.751841565850977,143.66,86.60849999999994
E,drop_top_obs_1,33,0.16850154946536944,14.792397309834824,8.72292481600234,106.31,60.849999999999966
E,drop_top_obs_2,32,-0.1207171564314633,10.987595403171339,7.184734835215494,76.0,44.83749999999999
E,drop_top_obs_3,31,-0.6350949936464563,8.961342928375927,6.220863066817995,50.75,39.730000000000004
E,obs_le_p95,32,-0.12071715643146352,10.987595403171339,7.184734835215493,76.0,44.83749999999999
E,obs_le_p98,33,0.16850154946536933,14.792397309834824,8.72292481600234,106.31,60.849999999999966
F,all,34,0.34135468277579195,65.2849807235738,39.7115529103262,415.87,317.3304999999999
F,drop_top_obs_1,33,-0.06941136571876605,63.87835118108644,37.8458283394348,340.23,224.7199999999998
F,drop_top_obs_2,32,-0.18755114922912042,50.459185411019575,31.82211525871259,305.0,157.95049999999998
F,drop_top_obs_3,31,-0.17369213141200524,30.14736474251535,25.401186966000967,171.2,140.155
F,obs_le_p95,32,-0.18755114922912042,50.459185411019575,31.822115258712586,305.0,157.95049999999998
F,obs_le_p98,33,-0.06941136571876672,63.87835118108645,37.84582833943481,340.23,224.7199999999998
G,all,34,0.4940669991061639,19.516952529172066,14.348086764705881,194.05,104.82899999999998
G,drop_top_obs_1,33,-0.18473326192931472,19.078439619889586,13.854089393939391,111.81,99.52799999999999
G,drop_top_obs_2,32,-0.45874512439640514,19.2692438712921,13.9309359375,101.07,92.04299999999999
G,drop_top_obs_3,31,-0.5902870942920655,18.826765258991717,13.415885483870968,98.5,83.458
G,obs_le_p95,32,-0.4587451243964049,19.269243871292097,13.9309359375,101.07,92.04299999999999
G,obs_le_p98,33,-0.18473326192931494,19.07843961988959,13.854089393939395,111.81,99.52799999999999
H,all,34,0.07928104705930827,0.22626095358600223,0.11852352941176465,1.33,0.39949999999999963
H,drop_top_obs_1,33,0.20755293180102397,0.10117391117788369,0.08622424242424236,0.51,0.32799999999999996
H,drop_top_obs_2,32,0.037246153634492574,0.08748584305117593,0.07939531249999993,0.34,0.3145
H,drop_top_obs_3,31,-0.19750697160117792,0.08552742721753999,0.07760967741935476,0.32,0.26
H,obs_le_p95,32,0.03724615363449246,0.08748584305117593,0.07939531249999993,0.34,0.3145
H,obs_le_p98,33,0.20755293180102374,0.10117391117788369,0.08622424242424237,0.51,0.32799999999999996
