target,protocol,model,feature,importance
A,temporal,LightGBM,target_spatial_idw,636.0
A,temporal,LightGBM,target_spatial_min_dist,540.0
A,temporal,LightGBM,target_spatial_mean,530.0
A,temporal,LightGBM,p,389.0
A,temporal,LightGBM,e,388.0
A,temporal,LightGBM,b,379.0
A,temporal,LightGBM,a,378.0
A,temporal,LightGBM,d,365.0
A,temporal,LightGBM,lat,349.0
A,temporal,LightGBM,h,346.0
A,temporal,LightGBM,year,342.0
A,temporal,LightGBM,c,341.0
B,temporal,LightGBM,target_spatial_idw,742.0
B,temporal,LightGBM,target_spatial_mean,684.0
B,temporal,LightGBM,j,474.0
B,temporal,LightGBM,lat,454.0
B,temporal,LightGBM,target_spatial_min_dist,449.0
B,temporal,LightGBM,i,399.0
B,temporal,LightGBM,p,393.0
B,temporal,LightGBM,b,359.0
B,temporal,LightGBM,year,355.0
B,temporal,LightGBM,lon_lat,353.0
B,temporal,LightGBM,lon,341.0
B,temporal,LightGBM,d,331.0
C,temporal,XGBoost,target_spatial_mean,0.09199579805135727
C,temporal,XGBoost,target_spatial_idw,0.0836338996887207
C,temporal,XGBoost,year_offset_sq,0.051969267427921295
C,temporal,XGBoost,year_offset,0.047710198909044266
C,temporal,XGBoost,year,0.04673408344388008
C,temporal,XGBoost,lon_sq,0.038753852248191833
C,temporal,XGBoost,o,0.03809857368469238
C,temporal,XGBoost,q,0.0360177643597126
C,temporal,XGBoost,a,0.03576461970806122
C,temporal,XGBoost,n,0.033573441207408905
C,temporal,XGBoost,lat,0.03342730924487114
C,temporal,XGBoost,k,0.03218485042452812
D,temporal,XGBoost,target_spatial_idw,0.09970545768737793
D,temporal,XGBoost,lon_lat,0.06202235445380211
D,temporal,XGBoost,p,0.05177285149693489
D,temporal,XGBoost,target_spatial_mean,0.04663096368312836
D,temporal,XGBoost,i,0.046561937779188156
D,temporal,XGBoost,g,0.046249546110630035
D,temporal,XGBoost,lat_sq,0.04584825783967972
D,temporal,XGBoost,year_offset_sq,0.045663949102163315
D,temporal,XGBoost,lat,0.04264725372195244
D,temporal,XGBoost,k,0.03702506422996521
D,temporal,XGBoost,target_spatial_min_dist,0.03662840649485588
D,temporal,XGBoost,h,0.03200304135680199
E,temporal,LightGBM,target_spatial_min_dist,652.0
E,temporal,LightGBM,target_spatial_idw,489.0
E,temporal,LightGBM,target_spatial_mean,477.0
E,temporal,LightGBM,i,446.0
E,temporal,LightGBM,p,427.0
E,temporal,LightGBM,d,405.0
E,temporal,LightGBM,year,398.0
E,temporal,LightGBM,e,363.0
E,temporal,LightGBM,j,361.0
E,temporal,LightGBM,a,359.0
E,temporal,LightGBM,b,354.0
E,temporal,LightGBM,c,354.0
F,temporal,LightGBM,target_spatial_mean,551.0
F,temporal,LightGBM,target_spatial_min_dist,511.0
F,temporal,LightGBM,target_spatial_idw,491.0
F,temporal,LightGBM,e,445.0
F,temporal,LightGBM,a,443.0
F,temporal,LightGBM,p,415.0
F,temporal,LightGBM,b,413.0
F,temporal,LightGBM,year,402.0
F,temporal,LightGBM,i,397.0
F,temporal,LightGBM,d,383.0
F,temporal,LightGBM,j,367.0
F,temporal,LightGBM,q,348.0
G,temporal,XGBoost,year_offset_sq,0.1026068702340126
G,temporal,XGBoost,lat,0.08638885617256165
G,temporal,XGBoost,lat_sq,0.0777241513133049
G,temporal,XGBoost,lon_lat,0.0516272634267807
G,temporal,XGBoost,year_offset,0.051027704030275345
G,temporal,XGBoost,year,0.04861658811569214
G,temporal,XGBoost,target_spatial_mean,0.043802402913570404
G,temporal,XGBoost,e,0.03731899708509445
G,temporal,XGBoost,target_spatial_idw,0.036353275179862976
G,temporal,XGBoost,h,0.03155019134283066
G,temporal,XGBoost,k,0.03009091131389141
G,temporal,XGBoost,g,0.0280462633818388
H,temporal,CatBoost,target_spatial_mean,32.0717555987189
H,temporal,CatBoost,target_spatial_idw,9.327377327301294
H,temporal,CatBoost,a,8.542234332781447
H,temporal,CatBoost,i,5.557750399698049
H,temporal,CatBoost,target_spatial_min_dist,4.969100337323833
H,temporal,CatBoost,j,4.465928375571907
H,temporal,CatBoost,lon,3.5292316283700838
H,temporal,CatBoost,q,3.2027477092966965
H,temporal,CatBoost,b,2.9265190873069846
H,temporal,CatBoost,d,2.5354643708493354
H,temporal,CatBoost,lat_sq,1.9459942388680407
H,temporal,CatBoost,l,1.8706697819169862
