protocol,target,source,method,model,n_train,n_test,r2,r2_log1p,rmse,mae,mape,base_candidate
literature_2019_2020,A,external_public_covariates,external_covariates,ExtraTrees,815.0,100.0,0.0996816015829491,0.1036564034915089,13.263779743058658,6.421033272792291,37.54814972707055,
literature_2019_2020,B,external_public_covariates,external_covariates,XGBoost,815.0,100.0,0.0960225096717634,-0.0514963720597909,2.066764181719553,1.0000203803455832,225.485088382644,
literature_2019_2020,C,external_public_covariates,external_covariates,XGBoost,815.0,100.0,0.0990546863784759,0.0963292421766661,49.73811459098674,23.69387843841553,37.62490068175502,
literature_2019_2020,D,external_public_covariates,external_covariates,ExtraTrees,815.0,100.0,0.1184645909811559,-0.1226225758839485,54.04741402437794,23.13223598102398,58.46999415104592,
literature_2019_2020,E,external_public_covariates,external_covariates,RF,815.0,100.0,0.1346131226764003,0.1081590165498229,10.444140044181845,7.2002468824032455,26.67472697478745,
literature_2019_2020,F,external_public_covariates,external_covariates,CatBoost,815.0,100.0,0.1303544987786977,0.2976329605896557,80.03655498321167,37.29128958178237,60.049297445420336,
literature_2019_2020,G,external_public_covariates,external_covariates,ExtraTrees,815.0,100.0,0.0133928365081524,-0.059211359230501,123.76268353290472,48.03791003642394,40.02040897889039,
literature_2019_2020,H,external_public_covariates,external_covariates,HistGBR,815.0,100.0,0.4922714905204099,0.4951399664601571,0.2544114266613617,0.1164386564533503,98.42398453186496,
temporal_2022_2026,A,external_public_covariates,external_covariates,HistGBR,938.0,34.0,0.2756597198867775,0.2321171536297125,16.34552258518465,6.867227853478993,48.22326413831211,
temporal_2022_2026,B,external_public_covariates,external_covariates,LightGBM,938.0,34.0,0.1542918862112773,-0.009526124395224,1.891301851808592,0.8984757956817854,369.6555544205499,
temporal_2022_2026,C,external_public_covariates,external_covariates,NGBoost,938.0,34.0,-0.0217209801130433,-0.21966799413262,34.387236850374286,22.61388242038168,62.16715191491436,
temporal_2022_2026,D,external_public_covariates,external_covariates,HistGBR,938.0,34.0,0.2738629131938727,0.4437839094942779,42.94587408165429,15.721180275799751,26.95578593383601,
temporal_2022_2026,E,external_public_covariates,external_covariates,ExtraTrees,938.0,34.0,0.4887473616375763,0.2717667207626726,17.399731984607786,8.888919012571323,24.2218863321408,
temporal_2022_2026,F,external_public_covariates,external_covariates,LightGBM,938.0,34.0,0.2336708172790983,-0.6457497523237188,70.41986013279895,52.6462209980052,46.89243364890417,
temporal_2022_2026,G,external_public_covariates,external_covariates,NGBoost,938.0,34.0,0.0051004336082423,-0.1303190170106507,27.3687600736106,20.90391034327537,39.46434703370189,
temporal_2022_2026,H,external_public_covariates,external_covariates,NGBoost,938.0,34.0,0.049005576289838,0.0968738504260012,0.2299508698569624,0.1043166429223587,169.31537589044046,
temporal_2022_2026,A,external_geo_terrain_covariates,external_geo_terrain,HistGBR_raw,938.0,34.0,0.3634294531088791,0.2249365254809876,15.323245582654698,7.51786280129809,54.1097955432005,
temporal_2022_2026,B,external_geo_terrain_covariates,external_geo_terrain,LightGBM,938.0,34.0,0.3662322650316741,0.1800680590606849,1.6372524987761534,0.7867080095399386,338.60984387140985,
