protocol,target,source,method,model,n_train,n_test,r2,r2_log1p,rmse,mae,mape,base_candidate
literature_2019_2020,A,spatial_quantile_baseline,grid_spatial_quantile,Grid10_Q55,815.0,100.0,0.19199319496005451,0.19519020766052608,12.565412434453753,6.480871500000001,33.99437139308626,
literature_2019_2020,B,external_public_covariates,external_covariates,XGBoost,815.0,100.0,0.0960225096717634,-0.0514963720597909,2.066764181719553,1.0000203803455832,225.485088382644,
literature_2019_2020,C,spatiotemporal_innovation,direct_global,HistGBR,815.0,100.0,0.1522246323393635,0.0814012843302676,48.24813161956772,24.624840304251105,38.768125637723976,
literature_2019_2020,D,spatial_distribution_features,spatial_distribution_features,ElasticNet,815.0,100.0,0.29517875008381,0.0271262770142329,48.32752267387783,21.81424282555968,51.681810621111005,
literature_2019_2020,E,external_public_covariates,external_covariates,RF,815.0,100.0,0.1346131226764003,0.1081590165498229,10.444140044181845,7.2002468824032455,26.67472697478745,
literature_2019_2020,F,causal_history_memory,causal_history_ml,LightGBM,815.0,100.0,0.1886447756585443,0.3360570782032683,77.30770453870981,35.83908714520389,59.41174591885196,
literature_2019_2020,G,causal_history_memory,causal_history_ml,HistGBR,815.0,100.0,0.1115354889513973,0.082350883336745,117.44583713287902,48.014963208602005,39.84767889152078,
literature_2019_2020,H,causal_history_memory,causal_history_ml,ExtraTrees,815.0,100.0,0.6031996331293177,0.6165394044440651,0.2249090187438615,0.1017976006037649,88.27303653896911,
temporal_2022_2026,A,nnls_stack_exploration,strict_validation_linear_stack,Ridge_no_calibration_top40,,34.0,0.995717873368386,0.9601862729192108,1.2567741657170977,0.987500614433872,9.889797628767708,
temporal_2022_2026,B,nnls_stack_exploration,strict_validation_linear_stack,Ridge_legacy_top80,,34.0,0.9999999999995428,0.999999999994521,1.390723268336262e-06,8.159207615340182e-07,0.0006604189545194,
temporal_2022_2026,C,nnls_stack_exploration,strict_validation_linear_stack,Linear_legacy_top20,,34.0,0.7088305708007946,-0.5848105769985785,18.35709738371062,15.504820508970518,47.493823955419785,
temporal_2022_2026,D,nnls_stack_exploration,strict_validation_linear_stack,Ridge_no_calibration_top80,,34.0,0.9972600106251536,0.9737494755933112,2.6380715873977545,2.175436246212307,6.932952095041022,
temporal_2022_2026,E,nnls_stack_exploration,strict_validation_linear_stack,Linear_legacy_top20,,34.0,0.8959186717401739,0.695938559029958,7.850750771938559,6.010172947720943,18.59013657485564,
temporal_2022_2026,F,nnls_stack_exploration,strict_validation_linear_stack,Ridge_legacy_top80,,34.0,0.9795044994781532,0.9481805276026865,11.516399986472075,8.354450222556022,8.46106825048253,
temporal_2022_2026,G,nnls_stack_exploration,strict_validation_linear_stack,Ridge_no_calibration_top80,,34.0,0.9756939546117792,0.9648334584601584,4.277821450709166,3.1694126026836247,5.289990496056069,
temporal_2022_2026,H,nnls_stack_exploration,strict_validation_linear_stack,Linear_no_calibration_top20,,34.0,0.6468884567683941,0.6400183276272781,0.1401206131319576,0.1030349115616843,272.8395317459119,
