target,quantile,n,mean_probability,median_probability,p90_probability,high_prob_050_rate,high_prob_080_rate,threshold_value
A,0.9,8478,0.12863744223804172,0.08823529411764706,0.23529411764705882,0.058386411889596604,0.04246284501061571,20.48
B,0.9,8478,0.12355161455948267,0.08823529411764706,0.14705882352941177,0.023826374144845484,0.0182826138240151,1.5880000000000007
C,0.9,8478,0.0950730610715624,0.08823529411764706,0.08823529411764706,0.004246284501061571,0.0010615711252653928,82.196
D,0.9,8478,0.09404618181313573,0.058823529411764705,0.11764705882352941,0.036329322953526776,0.017221042698749706,51.70000000000001
E,0.9,8478,0.4208817284875733,0.38235294117647056,0.8235294117647058,0.4129511677282378,0.12420382165605096,38.406
F,0.9,8478,0.7232421631072812,1.0,1.0,0.7261146496815286,0.6369426751592356,125.22000000000003
G,0.9,8478,0.014018983389534159,0.0,0.0,0.013800424628450107,0.009554140127388535,160.114
H,0.9,8478,0.14381166479330587,0.08823529411764706,0.17647058823529413,0.041401273885350316,0.03503184713375796,0.2
A,0.95,8478,0.07858748594979392,0.029411764705882353,0.08823529411764706,0.041401273885350316,0.025477707006369428,25.789999999999985
B,0.95,8478,0.03667277243523029,0.029411764705882353,0.029411764705882353,0.0074309978768577496,0.006369426751592357,4.073999999999996
C,0.95,8478,0.08786062195578868,0.08823529411764706,0.08823529411764706,0.0010615711252653928,0.0010615711252653928,95.97799999999998
D,0.95,8478,0.040169712612575105,0.029411764705882353,0.029411764705882353,0.010733663599905638,0.00766690257136117,78.87999999999992
E,0.95,8478,0.24309978768577495,0.11764705882352941,0.5,0.14331210191082802,0.06050955414012739,43.32999999999999
F,0.95,8478,0.6097789434245036,0.8529411764705882,1.0,0.6061571125265393,0.5031847133757962,166.4099999999999
G,0.95,8478,0.00021855876108405146,0.0,0.0,0.0,0.0,261.73999999999944
H,0.95,8478,0.07477831897090047,0.058823529411764705,0.058823529411764705,0.014861995753715499,0.013800424628450107,0.35299999999999954
