target,protocol,method,model,status,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape,sample_weight_used,high_threshold
A,literature_2019_2020,temporal_weighted,ElasticNet,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.11091935213556281,0.12044796403728475,13.18074073186914,6.43373347088005,42.00657972890441,True,
B,literature_2019_2020,two_stage_high_pollution,CatBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.06119436530090705,-0.14113147090906208,2.1062017144430913,1.0963309242751835,279.8003769636258,,1.2769999999999992
C,literature_2019_2020,direct_global,HistGBR,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.15222463233936356,0.08140128433026761,48.248131619567715,24.624840304251105,38.768125637723976,,
D,literature_2019_2020,spatial_zone_features,HistGBR,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.20676323698550236,-0.18813025703792818,51.26918992061542,24.573522904397247,64.08058769163556,,
E,literature_2019_2020,direct_global,RF,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.10715794970182668,0.08881441047555116,10.608521282616511,7.413776815852195,27.399186387422635,,
F,literature_2019_2020,direct_global,XGBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.1028483466874236,0.2665694592506146,81.29244588787594,37.55217211608886,58.88879427387661,,
G,literature_2019_2020,temporal_weighted,CatBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.024277750319498748,0.025393327084562767,123.07807344282642,49.097739460048224,37.74443022077358,True,
H,literature_2019_2020,spatial_zone_features,RF,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.4402258006498114,0.4279010959666334,0.2671328373337738,0.1176726748500399,91.96603473107668,,
A,temporal_2022_2026,temporal_weighted,LightGBM,ok,938.0,34.0,2000.0,2021.0,2022.0,2026.0,0.44474055023207726,0.20810174943564985,14.311180881210285,7.2071675037538565,53.850362722247965,True,
B,temporal_2022_2026,two_stage_high_pollution,CatBoost,ok,938.0,34.0,2000.0,2021.0,2022.0,2026.0,-0.042158605915733505,-0.17071729162523974,2.09950787877498,1.0348015252730651,401.96567213345816,,1.32
C,temporal_2022_2026,spatial_zone_features,LightGBM,ok,938.0,34.0,2000.0,2021.0,2022.0,2026.0,0.029786479251265763,-0.08043412987077847,33.50925601659731,22.173775936952733,57.75521366753401,,
D,temporal_2022_2026,spatial_zone_features,NGBoost,ok,938.0,34.0,2000.0,2021.0,2022.0,2026.0,0.2891750437945674,0.5014480588202272,42.49065937946107,15.20413020978372,25.743141207128772,,
E,temporal_2022_2026,spatial_zone_features,PLSR,ok,938.0,34.0,2000.0,2021.0,2022.0,2026.0,0.3526977686259215,0.2935801133632274,19.578451052472854,9.860954166406252,25.017276975516197,,
F,temporal_2022_2026,spatial_zone_features,LightGBM,ok,938.0,34.0,2000.0,2021.0,2022.0,2026.0,0.04997070383677127,-0.6819089199053883,78.40720539567539,50.68452550118947,39.320544177193305,,
G,temporal_2022_2026,direct_global,PLSR,ok,938.0,34.0,2000.0,2021.0,2022.0,2026.0,0.11308746627889066,-0.18891812063336078,25.840796608068377,20.383590330658194,41.11350703143138,,
H,temporal_2022_2026,direct_global,CatBoost,ok,938.0,34.0,2000.0,2021.0,2022.0,2026.0,0.011911747253158689,0.021580148809103306,0.2343926232726224,0.11907605984492378,213.07050838195912,,
