target,protocol,method,model,status,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape,sample_weight_used,high_threshold
A,literature_2019_2020,direct_global,RF,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.034999463825876154,-0.0797047335409089,14.221300104427057,6.877524889621724,44.35586524631332,,
A,literature_2019_2020,spatial_zone_features,RF,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.06033568047301707,-0.09127369548218112,14.394312489828389,6.905219354660456,45.10632196225388,,
A,literature_2019_2020,spatial_baseline_residual,RF,failed: Input y contains NaN.,,,,,,,,,,,,,
A,literature_2019_2020,spatial_baseline_residual_zone,RF,failed: Input y contains NaN.,,,,,,,,,,,,,
A,literature_2019_2020,temporal_weighted,RF,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.022247955206300185,-0.030479282139544095,13.822404728680985,6.764447967665814,40.674480460032576,True,
A,literature_2019_2020,two_stage_high_pollution,RF,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.03878929672390641,0.01247264410361748,13.704984157774682,6.968154699921042,41.91314070585825,,18.218
A,literature_2019_2020,direct_global,ExtraTrees,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.10314629743308423,0.07792336586951654,13.238233636193858,6.450882729420032,38.49828879751389,,
A,literature_2019_2020,spatial_zone_features,ExtraTrees,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.09409132236522622,0.04443090941647576,13.304894912747699,6.629228946395968,40.07814983723218,,
A,literature_2019_2020,spatial_baseline_residual,ExtraTrees,failed: Input y contains NaN.,,,,,,,,,,,,,
A,literature_2019_2020,spatial_baseline_residual_zone,ExtraTrees,failed: Input y contains NaN.,,,,,,,,,,,,,
A,literature_2019_2020,temporal_weighted,ExtraTrees,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.09122855505006455,0.07565071785083044,13.325900768804175,6.565805841562468,37.44564105278289,True,
A,literature_2019_2020,two_stage_high_pollution,ExtraTrees,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.052267162869292116,0.04620920177706567,13.60856095692111,6.998449849403898,41.131696099239115,,18.218
A,literature_2019_2020,direct_global,HistGBR,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.10187543921459907,-0.23112457855902502,14.673559930889901,7.606885884177512,47.23585335883372,,
A,literature_2019_2020,spatial_zone_features,HistGBR,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.0946780085337422,-0.21518616519677036,14.625557699392035,7.628752798232873,47.321063661092104,,
A,literature_2019_2020,spatial_baseline_residual,HistGBR,failed: Input y contains NaN.,,,,,,,,,,,,,
A,literature_2019_2020,spatial_baseline_residual_zone,HistGBR,failed: Input y contains NaN.,,,,,,,,,,,,,
A,literature_2019_2020,temporal_weighted,HistGBR,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.11014324444518264,-0.23396310024237676,14.72850779823138,7.72493160856953,46.9898738882848,True,
