target,model,candidate,coefficient
A,OLS_top50,temporal_calibration::temporal_validation_calibration::external:HistGBR:QuantileMappedClipped,8.2137109201225
A,OLS_top50,temporal_calibration::temporal_validation_calibration::external:HistGBR:QuantileMapped,8.213710920119057
A,OLS_top50,temporal_calibration::temporal_validation_calibration::innovation:LightGBM:QuantileMappedClipped,-5.86876757938669
A,OLS_top50,temporal_calibration::temporal_validation_calibration::innovation:LightGBM:QuantileMapped,-5.868767579387262
A,OLS_top50,spatial_quantile::grid_spatial_quantile::Grid6_Q90,-30.54647730453567
A,OLS_top50,spatial_quantile::grid_spatial_quantile::Grid6_Q95,30.861309213752964
A,OLS_top50,temporal_calibration::temporal_validation_calibration::innovation:HistGBR:QuantileMappedClipped,-5.691942349865913
A,OLS_top50,temporal_calibration::temporal_validation_calibration::innovation:HistGBR:QuantileMapped,-5.691942349867455
A,OLS_top50,temporal_calibration::temporal_validation_calibration::multitask_latent:Latent_PLSR:QuantileMappedClipped,-0.9393576743168348
A,OLS_top50,temporal_calibration::temporal_validation_calibration::multitask_latent:Latent_PLSR:QuantileMapped,-0.9393576743188043
A,OLS_top50,spatial_quantile::grid_spatial_quantile::Grid6_Q96,-15.25936659101197
A,OLS_top50,temporal_calibration::temporal_validation_calibration::external:HistGBR:MeanStdMappedClipped,4.203694918366272
A,OLS_top50,temporal_calibration::temporal_validation_calibration::external:HistGBR:MeanStdMapped,-9.424536891774455
A,OLS_top50,innovation::temporal_weighted::LightGBM,11.634976754403459
A,OLS_top50,spatial_quantile::grid_spatial_quantile::Grid4_Q90,1.1483683809474103
A,OLS_top50,spatial_quantile::grid_spatial_quantile::Grid6_Q85,13.840751283668505
A,OLS_top50,primary_experiment::primary_temporal::HistGBR_raw,6.493017686959323
A,OLS_top50,temporal_calibration::temporal_validation_calibration::external:CatBoost:QuantileMappedClipped,3.9733671857134567
A,OLS_top50,temporal_calibration::temporal_validation_calibration::external:CatBoost:QuantileMapped,3.9733671857127195
A,OLS_top50,temporal_calibration::temporal_validation_calibration::innovation:HistGBR:MeanStdMappedClipped,11.190400586498834
A,OLS_top50,temporal_calibration::temporal_validation_calibration::innovation:HistGBR:MeanStdMapped,1.1285119919864848
A,OLS_top50,temporal_calibration::temporal_validation_calibration::innovation:LightGBM:MeanStdMappedClipped,3.1523596863537637
A,OLS_top50,temporal_calibration::temporal_validation_calibration::temporal_sequence:HistGBR:QuantileMappedClipped,5.741529620752659
A,OLS_top50,temporal_calibration::temporal_validation_calibration::temporal_sequence:HistGBR:QuantileMapped,5.741529620751837
A,OLS_top50,temporal_calibration::temporal_validation_calibration::spatial_distribution:HistGBR:QuantileMappedClipped,-6.989059529192466
A,OLS_top50,temporal_calibration::temporal_validation_calibration::spatial_distribution:HistGBR:QuantileMapped,-6.989059529192594
A,OLS_top50,temporal_calibration::temporal_validation_calibration::causal_history:ElasticNet:QuantileMappedClipped,-0.7600111530275263
A,OLS_top50,temporal_calibration::temporal_validation_calibration::causal_history:ElasticNet:QuantileMapped,-0.7600111530275068
A,OLS_top50,temporal_calibration::temporal_validation_calibration::innovation:LightGBM:MeanStdMapped,-7.295248479712165
A,OLS_top50,spatial_quantile::grid_spatial_quantile::Grid8_Q95,-1.8165690159335515
A,OLS_top50,spatial_quantile::grid_spatial_quantile::Grid10_Q90,-0.5914336141331644
A,OLS_top50,temporal_calibration::temporal_validation_calibration::local_analog:HistGBR:MeanStdMappedClipped,-24.007063546637184
A,OLS_top50,temporal_calibration::temporal_validation_calibration::spatial_distribution:HistGBR:MeanStdMappedClipped,6.029112534992526
A,OLS_top50,temporal_calibration::temporal_validation_calibration::spatial_distribution:HistGBR:MeanStdMapped,6.029112534992533
A,OLS_top50,spatial_quantile::grid_spatial_quantile::Grid5_Q90,2.1665513941773993
A,OLS_top50,primary_experiment::primary_temporal::XGBoost_raw,10.305425281549404
A,OLS_top50,temporal_calibration::temporal_validation_calibration::local_analog:HistGBR:MeanStdMapped,41.683623063542946
A,OLS_top50,temporal_calibration::temporal_validation_calibration::temporal_sequence:LightGBM:MeanStdMappedClipped,1.5590380347379944
A,OLS_top50,temporal_calibration::temporal_validation_calibration::temporal_sequence:HistGBR:MeanStdMappedClipped,7.7644014019445855
A,OLS_top50,temporal_calibration::temporal_validation_calibration::temporal_sequence:LightGBM:MeanStdMapped,-7.15703791606614
A,OLS_top50,temporal_calibration::temporal_validation_calibration::external:LightGBM:MeanStdMappedClipped,6.12261780633591
A,OLS_top50,temporal_calibration::temporal_validation_calibration::local_analog:XGBoost:MeanStdMappedClipped,1.785816128474947
A,OLS_top50,temporal_calibration::temporal_validation_calibration::local_analog:XGBoost:MeanStdMapped,-2.3069937367518625
A,OLS_top50,primary_experiment::primary_temporal::CatBoost_raw,-12.606759796968467
A,OLS_top50,temporal_calibration::temporal_validation_calibration::external:LightGBM:MeanStdMapped,-9.358392632314484
A,OLS_top50,temporal_calibration::temporal_validation_calibration::temporal_sequence:HistGBR:MeanStdMapped,-12.989286820104018
A,OLS_top50,temporal_calibration::temporal_validation_calibration::external:HistGBR:BiasCorrectedClipped,-4.699721481271715
A,OLS_top50,temporal_calibration::temporal_validation_calibration::external:HistGBR:BiasCorrected,-4.699721481271755
A,OLS_top50,temporal_calibration::temporal_validation_calibration::local_analog:HistGBR:QuantileMappedClipped,-14.742108149788226
A,OLS_top50,temporal_calibration::temporal_validation_calibration::local_analog:HistGBR:QuantileMapped,-14.742108149788205
B,OLS_top50,temporal_calibration::temporal_validation_calibration::local_analog:LightGBM:QuantileMappedClipped,-1.86044256734161
B,OLS_top50,temporal_calibration::temporal_validation_calibration::local_analog:LightGBM:QuantileMapped,-1.8604425692130704
B,OLS_top50,temporal_calibration::temporal_validation_calibration::quantile_gate:GateQ90_P90_pow1:QuantileMappedClipped,16.421310630159795
B,OLS_top50,temporal_calibration::temporal_validation_calibration::quantile_gate:GateQ90_P90_pow1:QuantileMapped,16.421310631785385
B,OLS_top50,temporal_calibration::temporal_validation_calibration::quantile_gate:GateQ90_P90_pow1:RawClipped,419.1991189063811
B,OLS_top50,temporal_calibration::temporal_validation_calibration::quantile_gate:GateQ90_P90_pow1:Raw,419.19911890580494
B,OLS_top50,quantile::risk_gated_quantile::GateQ90_P90_pow1,419.1991189063933
B,OLS_top50,spatial_quantile::grid_spatial_quantile::Grid10_Q60,-13.87185698575653
B,OLS_top50,temporal_calibration::temporal_validation_calibration::quantile_gate:QuantileP90:BiasCorrectedClipped,-169.43626790802654
B,OLS_top50,temporal_calibration::temporal_validation_calibration::quantile_gate:QuantileP90:QuantileMappedClipped,-6.691341676327284
B,OLS_top50,temporal_calibration::temporal_validation_calibration::quantile_gate:QuantileP90:QuantileMapped,-6.69134167616845
B,OLS_top50,temporal_calibration::temporal_validation_calibration::quantile_gate:QuantileP90:BiasCorrected,185.44741981870786
B,OLS_top50,temporal_calibration::temporal_validation_calibration::quantile_gate:GateQ90_P90_pow1:BiasCorrectedClipped,-35.735182821406696
B,OLS_top50,temporal_calibration::temporal_validation_calibration::quantile_gate:GateQ90_P90_pow1:BiasCorrected,70.68606390054059
B,OLS_top50,temporal_calibration::temporal_validation_calibration::causal_history:ExtraTrees:MeanStdMappedClipped,-7.649134880473436
B,OLS_top50,temporal_calibration::temporal_validation_calibration::causal_history:ExtraTrees:MeanStdMapped,2.0015648379724436
B,OLS_top50,spatial_quantile::grid_spatial_quantile::Grid10_Q55,5.546676731569926
B,OLS_top50,temporal_calibration::temporal_validation_calibration::causal_history:ExtraTrees:QuantileMappedClipped,5.04011916540582
B,OLS_top50,temporal_calibration::temporal_validation_calibration::causal_history:ExtraTrees:QuantileMapped,5.040119165401728
B,OLS_top50,spatial_quantile::grid_spatial_quantile::Grid10_Q75,-0.8364236552499661
B,OLS_top50,temporal_calibration::temporal_validation_calibration::quantile_gate:GateQ90_P90_pow1:LogBiasCorrectedClipped,-829.7837640113158
B,OLS_top50,temporal_calibration::temporal_validation_calibration::quantile_gate:GateQ90_P90_pow1:LogBiasCorrected,383.9641409425019
B,OLS_top50,temporal_calibration::temporal_validation_calibration::quantile_gate:GateQ90_P90_pow1:MeanStdMappedClipped,-461.58542499565635
B,OLS_top50,temporal_calibration::temporal_validation_calibration::quantile_gate:GateQ90_P90_pow1:MeanStdMapped,-628.5645826390393
B,OLS_top50,temporal_calibration::temporal_validation_calibration::quantile_gate:QuantileP90:MeanStdMappedClipped,-637.696165197515
B,OLS_top50,temporal_calibration::temporal_validation_calibration::quantile_gate:QuantileP90:MeanStdMapped,653.9994015350651
B,OLS_top50,spatial_quantile::grid_spatial_quantile::Grid10_Q50,-5.950152700257754
