protocol,target,method,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,A,local_analog_direct,AnalogIDW,ok,815,100,19,-1.5966560426231662,-0.5505788944977621,22.52560435695165,9.321857260539181,85.67798776709104
literature_2019_2020,A,local_analog_direct,AnalogMedian,ok,815,100,19,0.061894415018463045,0.04424265286079998,13.539265340482842,6.959919999999999,34.526729495857545
literature_2019_2020,A,local_analog_direct,AnalogP90,ok,815,100,19,-3.724583914603559,-0.44090078100648533,30.384425014368805,12.524900000000002,73.442438867268
literature_2019_2020,A,local_analog_direct,AnalogRecentMax,ok,815,100,19,-11.908912114202128,-2.000648486845196,50.224319467664266,23.384570000000004,160.2341390130894
literature_2019_2020,A,local_analog_direct,AnalogSameOrNearestMax,ok,815,100,19,-1.6574413616663,-0.8692948937154519,22.78773098928456,9.8435,88.8848091415389
literature_2019_2020,A,local_analog_memory_ml,ElasticNet,ok,815,100,64,-0.04828652534512301,-0.18105871667489248,14.312293725604574,8.516041116753295,60.35875714348615
literature_2019_2020,A,local_analog_memory_ml,HistGBR,ok,815,100,64,0.031158488983537236,-0.027202906432939544,13.75927681178675,7.198735631793991,44.84589117515929
literature_2019_2020,A,local_analog_memory_ml,LightGBM,ok,815,100,64,0.06348215347067843,-0.03317050834940183,13.527802923003314,7.049217019876738,45.414194201241614
literature_2019_2020,A,local_analog_memory_ml,XGBoost,ok,815,100,64,0.12164823748068143,-0.011443590140085558,13.100970760112494,7.198163250274657,47.27432056955183
literature_2019_2020,A,local_analog_memory_ml,CatBoost,ok,815,100,64,0.10426714111489488,0.1050842820585759,13.229958803111286,6.80037753445327,39.58858423307256
literature_2019_2020,A,local_analog_memory_ml,NGBoost,ok,815,100,64,-0.21056499428576392,-0.23919478833146113,15.380246446264326,8.31569608857502,59.12795707472684
literature_2019_2020,B,local_analog_direct,AnalogIDW,ok,815,100,19,-1.4123362579904208,-1.156600039972978,3.376222349077372,1.6988387876744206,351.12677049848696
literature_2019_2020,B,local_analog_direct,AnalogMedian,ok,815,100,19,0.013366640418093212,-0.1370867308438115,2.1591858026580297,0.9439780000000002,129.75679084255995
literature_2019_2020,B,local_analog_direct,AnalogP90,ok,815,100,19,-36.76126532310847,-3.999129236856774,13.357813861909031,5.016096300000002,1122.466069328878
