variable,role,variable_group,in_modeling_data,missing,non_numeric,min,median,max,description
lon,predictor,Spatial/time base variable,True,0,0,80.5515,116.6,134.115,Sampling longitude.
lat,predictor,Spatial/time base variable,True,0,0,19.0649,32.7325,51.4183,Sampling latitude.
year,predictor,Spatial/time base variable,True,0,0,2000.0,2013.0,2026.0,Sampling year.
a,predictor,Original driver variable,True,0,0,4.69275,6.58,8.83,Original driver variable supplied in the modeling data.
b,predictor,Original driver variable,True,0,0,0.53855,2.3,4.55945,Original driver variable supplied in the modeling data.
c,predictor,Original driver variable,True,0,0,5.671,12.6,18.8145,Original driver variable supplied in the modeling data.
d,predictor,Original driver variable,True,0,0,8.1,24.6,44.8145,Original driver variable supplied in the modeling data.
e,predictor,Original driver variable,True,0,0,20.013,37.7,59.0435,Original driver variable supplied in the modeling data.
f,predictor,Original driver variable,True,0,0,13.771,33.4,69.3435,Original driver variable supplied in the modeling data.
g,predictor,Original driver variable,True,0,0,0.571,15.55,25.629,Original driver variable supplied in the modeling data.
h,predictor,Original driver variable,True,0,0,226.855,1243.0,1695.72,Original driver variable supplied in the modeling data.
i,predictor,Original driver variable,True,0,0,0.0,176.0,2186.22,Original driver variable supplied in the modeling data.
j,predictor,Original driver variable,True,0,0,0.3,2.0,10.3,Original driver variable supplied in the modeling data.
k,predictor,Original driver variable,True,0,0,0.03,0.7175,0.88,Original driver variable supplied in the modeling data.
l,predictor,Original driver variable,True,0,0,1.7855,17.6,28.2145,Original driver variable supplied in the modeling data.
m,predictor,Original driver variable,True,0,0,1.0,285.0,5247.24,Original driver variable supplied in the modeling data.
n,predictor,Original driver variable,True,0,0,0.25855,10.475,65.0,Original driver variable supplied in the modeling data.
o,predictor,Original driver variable,True,0,0,0.2142,2.22,12.0,Original driver variable supplied in the modeling data.
p,predictor,Original driver variable,True,0,0,3.0,40.8,113.062,Original driver variable supplied in the modeling data.
q,predictor,Original driver variable,True,0,0,0.4,11.0,68.458,Original driver variable supplied in the modeling data.
A,response,Heavy metal target,True,0,0,0.87,11.71,412.0,Heavy metal concentration response variable.
B,response,Heavy metal target,True,0,0,0.02,0.22,77.89,Heavy metal concentration response variable.
C,response,Heavy metal target,True,0,0,1.99,50.65,516.1,Heavy metal concentration response variable.
D,response,Heavy metal target,True,0,0,2.84,29.4,680.0,Heavy metal concentration response variable.
