target,quantile,threshold_value,mean_probability,median_probability,p90_probability,high_prob_050_rate,high_prob_080_rate
A,0.9000,20.4800,0.1286,0.0882,0.2353,0.0584,0.0425
A,0.9500,25.7900,0.0786,0.0294,0.0882,0.0414,0.0255
B,0.9000,1.5880,0.1236,0.0882,0.1471,0.0238,0.0183
B,0.9500,4.0740,0.0367,0.0294,0.0294,0.0074,0.0064
C,0.9000,82.1960,0.0951,0.0882,0.0882,0.0042,0.0011
C,0.9500,95.9780,0.0879,0.0882,0.0882,0.0011,0.0011
D,0.9000,51.7000,0.0940,0.0588,0.1176,0.0363,0.0172
D,0.9500,78.8800,0.0402,0.0294,0.0294,0.0107,0.0077
E,0.9000,38.4060,0.4209,0.3824,0.8235,0.4130,0.1242
E,0.9500,43.3300,0.2431,0.1176,0.5000,0.1433,0.0605
F,0.9000,125.2200,0.7232,1.0000,1.0000,0.7261,0.6369
F,0.9500,166.4100,0.6098,0.8529,1.0000,0.6062,0.5032
G,0.9000,160.1140,0.0140,0.0000,0.0000,0.0138,0.0096
G,0.9500,261.7400,0.0002,0.0000,0.0000,0.0000,0.0000
H,0.9000,0.2000,0.1438,0.0882,0.1765,0.0414,0.0350
H,0.9500,0.3530,0.0748,0.0588,0.0588,0.0149,0.0138
