fold,target,model,family,status,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape
P1P2_to_P3,A,XGBoost,boosting,ok,748,224,2000,2017,2018,2026,0.11118998828156146,0.15955489769228004,20.82049257943337,7.63555747132642,41.82177441742491
P1P2_to_P3,B,RF,bagging,ok,748,224,2000,2017,2018,2026,0.08711868884251395,0.06973918112472988,3.7250977683846465,1.2436093500841425,260.7868850651975
P1P2_to_P3,C,CatBoost,boosting,ok,748,224,2000,2017,2018,2026,-0.025883402739309558,-0.11128069483597858,53.68392283150305,26.9027494869215,48.874888180833715
P1P2_to_P3,D,ExtraTrees,bagging,ok,748,224,2000,2017,2018,2026,0.11633654637502266,0.02337801725897859,50.22273549708276,21.249576655629898,47.90874273318216
P1P2_to_P3,E,PLSR,linear,ok,748,224,2000,2017,2018,2026,0.010038446095458009,0.04458831333380742,24.87229485464581,9.361092903669462,25.56835088700312
P1P2_to_P3,F,HistGBR,boosting,ok,748,224,2000,2017,2018,2026,0.023886157145750153,0.13014920102779415,489.8467977623303,82.52276879995215,70.91038203959613
P1P2_to_P3,G,ExtraTrees,bagging,ok,748,224,2000,2017,2018,2026,-0.06174592049702832,-0.27678961392833523,182.60469278079734,60.52296843768169,51.92055447453997
P1P2_to_P3,H,HistGBR,boosting,ok,748,224,2000,2017,2018,2026,0.2295766377378432,0.29430954571658574,0.4460150510499299,0.1434948270569143,121.6074464076684
P1_to_P2,A,XGBoost,boosting,ok,254,494,2000,2008,2009,2017,0.1069653027760572,0.05388050859570226,22.411217455816438,6.74386689650192,61.77602009377217
P1_to_P2,B,ElasticNet,linear,ok,254,494,2000,2008,2009,2017,0.2814111667017636,-0.24170012781435601,4.300736949136574,1.5675334521862887,493.8949218103836
P1_to_P2,C,ExtraTrees,bagging,ok,254,494,2000,2008,2009,2017,-0.10816044982357864,-0.1068134432496135,29.325685075280536,21.5554848414368,66.32631065385118
P1_to_P2,D,LightGBM,boosting,ok,254,494,2000,2008,2009,2017,0.03525680450482538,0.012814188021357142,41.67410529376878,16.335777291200287,43.206565894759244
P1_to_P2,E,ExtraTrees,bagging,ok,254,494,2000,2008,2009,2017,-0.004576811089982424,-0.0008889907114169038,36.230781814652715,6.905428558615334,17.817655215572433
P1_to_P2,F,ExtraTrees,bagging,ok,254,494,2000,2008,2009,2017,0.040200873103714896,0.19100151661269904,197.21299118749766,56.02768977461242,89.17925615251814
P1_to_P2,G,PLSR,linear,ok,254,494,2000,2008,2009,2017,0.17501229983614464,-0.0950709997561312,237.43458222077797,70.79479732504645,87.5222212235684
P1_to_P2,H,ElasticNet,linear,ok,254,494,2000,2008,2009,2017,0.020130921442151117,-0.0076620430119807015,0.37252456494288133,0.12198544364152178,121.51047062282483
