fold,target,model,family,status,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape
P1_to_P2,A,RF,bagging,ok,254,494,2000,2008,2009,2017,0.08032510102221901,0.056278422189828925,22.743036573242946,6.483158039628371,60.50708438882363
P1_to_P2,A,ExtraTrees,bagging,ok,254,494,2000,2008,2009,2017,0.0705185733558702,0.08375379427768959,22.863969971339106,6.383124790109382,59.09283670282141
P1_to_P2,A,HistGBR,boosting,ok,254,494,2000,2008,2009,2017,0.0745863297163577,0.039830763880259856,22.81388449568496,6.670549244386098,61.21266208615565
P1_to_P2,A,ElasticNet,linear,ok,254,494,2000,2008,2009,2017,0.05785307681116292,-0.24089309554631577,23.01921981969083,8.385810699708182,87.33812131882289
P1_to_P2,A,PLSR,linear,ok,254,494,2000,2008,2009,2017,0.032648935121547984,-0.2673286876498093,23.325090644186353,8.522998571616384,88.3008186404568
P1_to_P2,A,XGBoost,boosting,ok,254,494,2000,2008,2009,2017,0.1069653027760572,0.05388050859570226,22.411217455816438,6.74386689650192,61.77602009377217
P1_to_P2,A,LightGBM,boosting,ok,254,494,2000,2008,2009,2017,0.08544175068417681,0.027307881731896022,22.679682415647065,6.757159708125064,59.97928900956722
P1_to_P2,A,CatBoost,boosting,ok,254,494,2000,2008,2009,2017,0.07397401556649064,0.10644774367229681,22.821430825914508,6.349830541164672,57.37937038494867
P1_to_P2,A,NGBoost,boosting,ok,254,494,2000,2008,2009,2017,0.08425687713091856,0.00015688142450098752,22.69436920991632,6.76096942704659,64.33357672235019
P1_to_P2,B,RF,bagging,ok,254,494,2000,2008,2009,2017,0.018498114189812953,0.08021256495855045,5.0262978115425065,1.2239842127968543,201.82697844577865
P1_to_P2,B,ExtraTrees,bagging,ok,254,494,2000,2008,2009,2017,0.004866839915992904,0.045414555144296265,5.061080523696137,1.2396736348282686,217.72396094523194
P1_to_P2,B,HistGBR,boosting,ok,254,494,2000,2008,2009,2017,0.01484702942740801,-0.01237474484522405,5.035637785782188,1.270798881757385,233.95510891881912
P1_to_P2,B,ElasticNet,linear,ok,254,494,2000,2008,2009,2017,0.2814111667017636,-0.24170012781435601,4.300736949136574,1.5675334521862887,493.8949218103836
P1_to_P2,B,PLSR,linear,ok,254,494,2000,2008,2009,2017,-0.5029790250761732,-0.4469474816518848,6.219838496117731,1.8372807716022914,609.5528913923164
P1_to_P2,B,XGBoost,boosting,ok,254,494,2000,2008,2009,2017,0.0010827320273972818,-0.01906201065007629,5.0706940625805785,1.2645860052209392,212.08260863316525
P1_to_P2,B,LightGBM,boosting,ok,254,494,2000,2008,2009,2017,0.018120772811921704,-0.020202713277130968,5.027263906418658,1.270548346960627,224.67409584783113
P1_to_P2,B,CatBoost,boosting,ok,254,494,2000,2008,2009,2017,0.002791125548771256,0.05454074737866066,5.066356141820388,1.2010790096724744,192.63323629030512
P1_to_P2,B,NGBoost,boosting,ok,254,494,2000,2008,2009,2017,-0.0009102049878912943,-0.031881277294835364,5.0757498058516575,1.2575418813256058,223.17629550772057
P1_to_P2,C,RF,bagging,ok,254,494,2000,2008,2009,2017,-0.11176193650973976,-0.08454353730269615,29.373300197853805,21.305051018290197,63.41848601183939
P1_to_P2,C,ExtraTrees,bagging,ok,254,494,2000,2008,2009,2017,-0.10816044982357864,-0.1068134432496135,29.325685075280536,21.5554848414368,66.32631065385118
P1_to_P2,C,HistGBR,boosting,ok,254,494,2000,2008,2009,2017,-0.16167218670609707,-0.15074181408697362,30.025388747635184,21.926946057325562,68.97881455770109
P1_to_P2,C,ElasticNet,linear,ok,254,494,2000,2008,2009,2017,-0.1094925690738573,-0.06297755837980734,29.34330597872249,21.367755436708777,62.43218465144752
P1_to_P2,C,PLSR,linear,ok,254,494,2000,2008,2009,2017,-0.13369379434895978,-0.07411888796201582,29.66161052443971,21.51997500230309,61.322978675119344
P1_to_P2,C,XGBoost,boosting,ok,254,494,2000,2008,2009,2017,-0.1526710751972582,-0.13483792831752028,29.908838038094167,21.805615734196095,65.59689468841444
P1_to_P2,C,LightGBM,boosting,ok,254,494,2000,2008,2009,2017,-0.17782680891020264,-0.16994352898012832,30.233439748051968,22.009390617414986,69.45081431905969
P1_to_P2,C,CatBoost,boosting,ok,254,494,2000,2008,2009,2017,-0.10862476653944553,-0.08340350640561911,29.331828129643654,21.4432355236242,64.6678554247244
P1_to_P2,C,NGBoost,boosting,ok,254,494,2000,2008,2009,2017,-0.20663348539019277,-0.20862175534891647,30.600923275802344,22.195108279918788,64.5832698833658
