protocol,target,method,model,status,n_train,n_test,recent_start_year,recent_median,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,A,predefined_recent_center,Recent3YearMedian,ok,815,100,2016,12.8,-0.10968673004521401,-0.07527909705378022,14.725479149759442,7.03827,33.67666245769961
literature_2019_2020,B,predefined_recent_center,Recent3YearMedian,ok,815,100,2016,0.4,-0.09086080222779236,-0.12749908672198473,2.2703707681786254,0.8301299999999999,97.23679559895959
literature_2019_2020,C,predefined_recent_center,Recent3YearMedian,ok,815,100,2016,59.9,-0.006188063091287166,-0.028497443501368958,52.56294424278381,25.201709999999995,42.137916056995365
literature_2019_2020,D,predefined_recent_center,Recent3YearMedian,ok,815,100,2016,33.84,-0.04567814310777796,-0.013807184735070033,58.864580563782155,21.07747,39.26081274102737
literature_2019_2020,E,predefined_recent_center,Recent3YearMedian,ok,815,100,2016,31.9,-0.017531226006902045,-0.0009695000754237348,11.32508334494718,7.610669999999999,28.076664962235153
literature_2019_2020,F,predefined_recent_center,Recent3YearMedian,ok,815,100,2016,40.8,-0.13243791952621886,-0.06344467980353574,91.3323140439352,44.642799999999994,56.21267965461125
literature_2019_2020,G,predefined_recent_center,Recent3YearMedian,ok,815,100,2016,77.30000000000001,-0.07560295768619829,-0.11740589018948189,129.22411876940774,43.84191,24.982948996473166
literature_2019_2020,H,predefined_recent_center,Recent3YearMedian,ok,815,100,2016,0.093,-0.05899658989121703,-0.07109557709146852,0.36742450612336675,0.11453300000000001,51.275535362341905
temporal_2022_2026,A,predefined_recent_center,Recent3YearMedian,ok,938,34,2019,14.2,-0.018729743139402677,-0.010091987091229715,19.384606291045053,7.6013529411764695,55.13613529898463
temporal_2022_2026,B,predefined_recent_center,Recent3YearMedian,ok,938,34,2019,0.41,-0.03676242795200779,-0.004101701629660948,2.0940653186621305,0.7845,217.6796748951458
temporal_2022_2026,C,predefined_recent_center,Recent3YearMedian,ok,938,34,2019,51.5,-0.06504121060318413,-0.44389738785320376,35.10866619679032,26.533764705882355,79.09747247768402
temporal_2022_2026,D,predefined_recent_center,Recent3YearMedian,ok,938,34,2019,33.17,-0.0475889124921125,-0.014686655005194282,51.583117259200904,18.603411764705886,27.59965152780357
temporal_2022_2026,E,predefined_recent_center,Recent3YearMedian,ok,938,34,2019,30.9,-0.09102669328975588,-0.04652881064617587,25.418063815858567,11.208911764705883,24.498472064938028
temporal_2022_2026,F,predefined_recent_center,Recent3YearMedian,ok,938,34,2019,44.65,-0.7358628949005834,-2.62770165864861,105.98519079305927,69.00585294117647,50.05538970444148
temporal_2022_2026,G,predefined_recent_center,Recent3YearMedian,ok,938,34,2019,80.4,-0.10390069623997467,-0.2297203231410192,28.82906154029503,20.03217647058824,39.407585646560264
temporal_2022_2026,H,predefined_recent_center,Recent3YearMedian,ok,938,34,2019,0.094,-0.0346328051168201,-0.02406512378491632,0.23984970784418558,0.1116470588235294,172.41021667181732
