protocol,target,method,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape,high_threshold,train_high_rate,gate_train_auc
literature_2019_2020,A,quantile_regression,QuantileP50,ok,815,100,45,0.06230352490076341,0.1257792743784073,13.536312767036998,6.528344122994692,32.7835500955786,,,
literature_2019_2020,A,quantile_regression,QuantileP75,ok,815,100,45,0.1306505880786284,0.13568050199675463,13.033661004318233,6.766695937391395,40.691911009371715,,,
literature_2019_2020,A,quantile_regression,QuantileP90,ok,815,100,45,-0.10505990428822432,-0.3793251912430122,14.694748227265764,9.442535076292003,72.99818759087144,,,
literature_2019_2020,A,risk_gated_quantile,GateQ90_P90_pow1,ok,815,100,45,0.17184700839505218,0.0989413181106289,12.721095890812462,6.366854360528167,38.30961510983703,20.48,0.10061349693251534,1.0
literature_2019_2020,A,risk_gated_quantile,GateQ90_P90_pow1.5,ok,815,100,45,0.17025268458272025,0.12369123123710835,12.733335050968957,6.276804111147959,36.162695985963566,20.48,0.10061349693251534,1.0
literature_2019_2020,A,risk_gated_quantile,GateQ90_P90_pow2,ok,815,100,45,0.1620153852303844,0.13656034597559674,12.796383918816067,6.289180726863988,35.09829710608631,20.48,0.10061349693251534,1.0
literature_2019_2020,A,risk_gated_quantile,GateQ80_P75_pow1,ok,815,100,45,0.10236370440554243,0.1285117530616191,13.244008206914994,6.5216366440384,34.83498548491799,16.9,0.2085889570552147,1.0
literature_2019_2020,A,risk_gated_quantile,GateQ80_P75_pow1.5,ok,815,100,45,0.09893010000163704,0.12708100842786207,13.26931426967704,6.533713528426343,34.52296075270901,16.9,0.2085889570552147,1.0
literature_2019_2020,A,risk_gated_quantile,GateQ80_P75_pow2,ok,815,100,45,0.09714446053465042,0.12783562062864484,13.282455583265849,6.542652555297459,34.33766306533297,16.9,0.2085889570552147,1.0
literature_2019_2020,B,quantile_regression,QuantileP50,ok,815,100,45,0.005678572487144207,0.013269011175350398,2.167581907797645,0.8551294894403801,125.94799289172384,,,
literature_2019_2020,B,quantile_regression,QuantileP75,ok,815,100,45,-0.0009873719618125332,-0.2520013796697167,2.1748355204028957,1.1060087124630769,274.1700013074879,,,
literature_2019_2020,B,quantile_regression,QuantileP90,ok,815,100,45,-2.422630952660766,-1.8169366765499535,4.021537798118625,2.313003969126585,632.3179625122073,,,
literature_2019_2020,B,risk_gated_quantile,GateQ90_P90_pow1,ok,815,100,45,-0.8463687217778948,-0.5806312942344558,2.953733681999284,1.3275459252422794,261.32719792164687,1.5880000000000007,0.10061349693251534,1.0
literature_2019_2020,B,risk_gated_quantile,GateQ90_P90_pow1.5,ok,815,100,45,-0.5307649341020655,-0.4244332667387447,2.6894679344385652,1.187992454034068,225.2895769862556,1.5880000000000007,0.10061349693251534,1.0
literature_2019_2020,B,risk_gated_quantile,GateQ90_P90_pow2,ok,815,100,45,-0.3260708882132324,-0.3142451223616982,2.503199645428693,1.0983468586323424,203.16194193582956,1.5880000000000007,0.10061349693251534,1.0
literature_2019_2020,B,risk_gated_quantile,GateQ80_P75_pow1,ok,815,100,45,-0.03870770849171579,-0.18344002589724906,2.215433892817016,1.0158394655075664,206.272845927104,0.8040000000000009,0.2,1.0
literature_2019_2020,B,risk_gated_quantile,GateQ80_P75_pow1.5,ok,815,100,45,-0.05042729103991439,-0.18128232521175702,2.227897039851411,1.0044548936743192,193.47268408981645,0.8040000000000009,0.2,1.0
literature_2019_2020,B,risk_gated_quantile,GateQ80_P75_pow2,ok,815,100,45,-0.05724200021456527,-0.18052072515528605,2.235112163538059,0.994347126914731,184.61140664598105,0.8040000000000009,0.2,1.0
literature_2019_2020,C,quantile_regression,QuantileP50,ok,815,100,45,-0.005373281440548716,-0.008037399906961173,52.5416579655761,24.272163707676672,37.51780611020723,,,
literature_2019_2020,C,quantile_regression,QuantileP75,ok,815,100,45,0.04844180718302349,-0.11548202820752018,51.11610807412495,26.78887416117475,50.305964981257475,,,
literature_2019_2020,C,quantile_regression,QuantileP90,ok,815,100,45,0.008830463670172595,-0.4882500210892382,52.16918787120933,33.755333656852656,69.477002369108,,,
literature_2019_2020,C,risk_gated_quantile,GateQ90_P90_pow1,ok,815,100,45,0.07149932905642409,0.04159921455889248,50.49300459369936,24.11315379096025,38.26054348785767,82.196,0.10061349693251534,1.0
literature_2019_2020,C,risk_gated_quantile,GateQ90_P90_pow1.5,ok,815,100,45,0.0556249979270339,0.035541426110194396,50.92280811223449,23.920095257418925,37.51814967294492,82.196,0.10061349693251534,1.0
literature_2019_2020,C,risk_gated_quantile,GateQ90_P90_pow2,ok,815,100,45,0.04359963601041583,0.029532183465749262,51.2459996914592,23.89220143078907,37.31379289169655,82.196,0.10061349693251534,1.0
literature_2019_2020,C,risk_gated_quantile,GateQ80_P75_pow1,ok,815,100,45,0.007764282939431655,-0.024800610718387572,52.19723899215555,24.75616319271041,39.95908352072746,73.02,0.2,1.0
literature_2019_2020,C,risk_gated_quantile,GateQ80_P75_pow1.5,ok,815,100,45,-0.000854992565547219,-0.026041587568620628,52.42346021777399,24.6133361860477,39.0460776278214,73.02,0.2,1.0
literature_2019_2020,C,risk_gated_quantile,GateQ80_P75_pow2,ok,815,100,45,-0.004840171667045201,-0.025131139253667056,52.52772573458719,24.5433622233261,38.61032837947431,73.02,0.2,1.0
literature_2019_2020,D,quantile_regression,QuantileP50,ok,815,100,45,0.003939936991077642,-0.03727981865281049,57.45102775886307,22.11151447750347,43.348734615816504,,,
literature_2019_2020,D,quantile_regression,QuantileP75,ok,815,100,45,0.0803311577674477,-0.2309779965898906,55.20402897717996,24.357200534363166,73.87540584386836,,,
literature_2019_2020,D,quantile_regression,QuantileP90,ok,815,100,45,-0.26237225349648297,-0.7975965795258544,64.67683492240995,32.207631379860416,124.956190298765,,,
literature_2019_2020,D,risk_gated_quantile,GateQ90_P90_pow1,ok,815,100,45,0.10759720861494704,-0.1694916527262733,54.37953613029141,23.249320480140383,64.36732529084003,51.70000000000001,0.10061349693251534,1.0
literature_2019_2020,D,risk_gated_quantile,GateQ90_P90_pow1.5,ok,815,100,45,0.09852327367531455,-0.09520528896676184,54.65530196235863,22.795473363915118,56.60473912580465,51.70000000000001,0.10061349693251534,1.0
literature_2019_2020,D,risk_gated_quantile,GateQ90_P90_pow2,ok,815,100,45,0.07546618394717486,-0.0607171612662889,55.34984881277887,22.614296413581837,52.216253563564905,51.70000000000001,0.10061349693251534,1.0
literature_2019_2020,D,risk_gated_quantile,GateQ80_P75_pow1,ok,815,100,45,0.07627517818210328,-0.1811624460734882,55.3256271415125,23.8776263143741,62.84210259198625,41.004000000000005,0.2,1.0
literature_2019_2020,D,risk_gated_quantile,GateQ80_P75_pow1.5,ok,815,100,45,0.06907353262591265,-0.16383310630254067,55.54087630348607,23.79121890840375,60.05091597475477,41.004000000000005,0.2,1.0
literature_2019_2020,D,risk_gated_quantile,GateQ80_P75_pow2,ok,815,100,45,0.06174720954299151,-0.14838626145439182,55.75899930484655,23.678835336668293,57.78438880707534,41.004000000000005,0.2,1.0
literature_2019_2020,E,quantile_regression,QuantileP50,ok,815,100,45,0.061598169367083844,0.05953849240036524,10.875818645526035,7.269218661713973,26.935522756276786,,,
literature_2019_2020,E,quantile_regression,QuantileP75,ok,815,100,45,0.030205216796679313,-0.03812588517735982,11.056239956491664,7.734386219350337,30.720702657415778,,,
