target,validation,fold,model,status,n_train,n_test,r2,r2_log1p,rmse,mae,mape
A,random_fivefold_cv,1,RF,ok,777,195,0.037073338791068666,0.26662013783356153,30.060732327584883,7.148756290863137,40.31044811661694
A,random_fivefold_cv,2,RF,ok,777,195,0.043542667676707114,0.23936583551872626,10.075222741229002,4.922167643491342,34.1034245637472
A,random_fivefold_cv,3,RF,ok,778,194,0.049837656719293744,0.3335012616438854,22.152806301662057,5.635293422908447,34.29468128322331
A,random_fivefold_cv,4,RF,ok,778,194,0.09740391392420866,0.26210446007231336,21.570502267886674,6.79979735812451,49.82035057602745
A,random_fivefold_cv,5,RF,ok,778,194,0.25289485545161905,0.4104243273629984,9.927499442886083,4.8571924087237415,33.3538371064513
A,random_fivefold_cv,pooled,RF,ok,778,972,0.06884211102825744,0.30187647598640566,20.30112698796024,5.872976446514324,38.374141720182315
A,random_fivefold_cv,1,XGBoost,ok,777,195,0.03126689021293294,0.24113125216666054,30.151229229155653,7.261364759601691,41.154313559073636
A,random_fivefold_cv,2,XGBoost,ok,777,195,0.09183849027110824,0.2844601683567982,9.817556323341556,4.822906686587212,33.65417886922928
A,random_fivefold_cv,3,XGBoost,ok,778,194,0.030593448615186536,0.2780099525095331,22.37601879267887,5.841826688432203,35.50380001064994
A,random_fivefold_cv,4,XGBoost,ok,778,194,0.05448006673746564,0.22377022197438856,22.077448443813505,6.8589660154323,51.53358978448409
A,random_fivefold_cv,5,XGBoost,ok,778,194,0.22583027237412145,0.3674389843170023,10.10571626275845,5.06218649909226,35.06080142627805
A,random_fivefold_cv,pooled,XGBoost,ok,778,972,0.05262552078957061,0.27523575336125994,20.47714119923395,5.9695996886630125,39.37726864246194
A,random_fivefold_cv,1,LightGBM,ok,777,195,-0.002440594910040783,0.09352846378729063,30.671306329950223,7.785093449386251,43.5479617428414
A,random_fivefold_cv,2,LightGBM,ok,777,195,-0.0006611531785374325,0.22723102185793698,10.305412399168684,4.98367753402544,34.585032697403044
A,random_fivefold_cv,3,LightGBM,ok,778,194,0.06899707446368786,0.3240991619634427,21.92832027802086,5.885429517750976,36.440680974858985
A,random_fivefold_cv,4,LightGBM,ok,778,194,0.038527663105582644,0.18306528699544478,22.262910042566077,7.193858199510926,53.479125697948106
A,random_fivefold_cv,5,LightGBM,ok,778,194,0.07603311192117179,0.2664541749678311,11.040206884458204,5.496122606566616,37.74439631564902
A,random_fivefold_cv,pooled,LightGBM,ok,778,972,0.030163179637110793,0.21552039099378162,20.71847656426879,6.269074017065856,41.15513302017299
A,random_fivefold_cv,1,ExtraTrees,ok,777,195,0.034111398118999325,0.29951433114119563,30.10692989620581,7.014483474866245,38.35542489568189
A,random_fivefold_cv,2,ExtraTrees,ok,777,195,0.06431233290406912,0.2839469693455503,9.965229578827449,4.741265274878632,32.90865148004622
A,random_fivefold_cv,3,ExtraTrees,ok,778,194,0.06105945175849292,0.3723602864808637,22.021601029461003,5.641462849342098,33.3363287636395
A,random_fivefold_cv,4,ExtraTrees,ok,778,194,0.09228034386612782,0.2732365315044052,21.631637911234275,6.608176966580433,49.55414336603632
A,random_fivefold_cv,5,ExtraTrees,ok,778,194,0.2016764008115719,0.3741180271807937,10.262153150244751,4.944784513934432,34.300744240087916
A,random_fivefold_cv,pooled,ExtraTrees,ok,778,972,0.06695715142632863,0.3201470169834617,20.321664567156674,5.790215356165125,37.686821881688424
B,random_fivefold_cv,1,RF,ok,777,195,0.031451896289225845,0.13689232256421702,4.847401406161414,1.3946220968549776,228.51160674808995
B,random_fivefold_cv,2,RF,ok,777,195,0.03960223500648741,0.08425450994629091,2.325223928869691,0.8060627725374561,161.9327933865001
