path,status,size_bytes,sha256,n_rows
data/processed/soil_heavy_metals_geology.csv,ok,1089372,ea90fbfbd6a4530246364397f8a5378cd833f31e604f049d7f5b1319f2bfa8b6,972
configs/soil_experiment.json,ok,781,4507653a4b27bad987203d5e2372503a26b3b31173843fbec27596f6839c00ae,
run_project.py,ok,13158,366367935426879566c6e6f3b29184364256d6a76c7866c02afef055ff166848,
requirements.txt,ok,315,0e2fc9bd2b790282baf16a412f328d30e9a48c4ac8828af3356b2c064479aa91,
tables/publication_grade_recommended_metrics.csv,ok,1562,b6924e9b635af25a69800e0f009f0fd5cdf091d504a374763997fa34da0b0d03,8
tables/validation_strategy_summary.csv,ok,1199,8d649381f38526f247f68dec7d0bbf786da8328c0403bfea0db029de1be76c7b,4
tables/spatial_baseline_residual_fixed_best_metrics.csv,ok,1737,3fb6e44d12dfb2f422d9c6e6dde3d6fc10e77532556d423f50b55927ffe65154,8
tables/framework_module_ablation_summary.csv,ok,2333,85899f83c9ca7714717ffad3f75eb1916b783dc932106b8414f76fdde346ae07,7
tables/framework_module_ablation_m0_m6.csv,ok,21717,52c0116b9a69a68ab6fe344d623083df506d1d97f348a5c44056e076cebceecd,56
tables/framework_module_ablation_summary.json,ok,6620,920c023ac5e93e7c0c33b9b7a465aefa2927050af099b78cc9092520bac469f9,
tables/publication_model_cards.csv,ok,4902,36685a1309eb53b4283343c6e32c75ce8388a8c2e4b9471c3405f2920c168ff4,8
tables/candidate_eligibility_summary.csv,ok,4190,f37c1dcc36fa87c0416c45e8f5acbe5aeef53a05f95d7ca4c0f6b8690a8d7922,8
tables/submission_readiness_audit_summary.json,ok,90,156b3751808d37a1e481e044d2236ce6081e1a1db1bd543bf51e3eb14883bcd4,
tables/submission_package_verification_summary.json,ok,115,60d2da5b049092acd2925a85464d823dc4fc8a49f642abc4c79505e90e028b08,
results/future_predictions_publication_aligned_2027_2035.csv,ok,11741619,dd6d89dd9221e388b875001a1c5c407c420d9178dc6375479e16c40989bbc129,67824
results/future_predictions_publication_aligned_2027_2035_intervals.csv,ok,27719306,44290c43066929cb033c60c02ff00391916581df2a188e727fe7b13ceaf35577,67824
results/future_exceedance_probability_2027_2035.csv,ok,64395574,fe21be863737c67ffa4698c2da3c792df64b4541c2ea1d3f44accf6dd11487d0,135648
figures/manuscript_summary/manuscript_results_overview.png,ok,398946,b31352495b3825b392f1c5e75d2146a4c230f78d65b9f87e88fb1e51c04e0aaa,
figures/validation_strategy/framework_module_ablation_mean_r2.png,ok,86298,c72bc658749c85bc2b0187e5dce78b23e767c9199c1d7202b59ef8da07cfa235,
docs/project_delivery_guide.md,ok,5072,88328750c569d826996b5e93cab69ec5a2bd88a53339530d3ee8442baa09360e,
docs/report.md,ok,37878,83fc8efb4a60c19a8410cad5c0c068ab00c52a5cfb7665a49b606dea984f8b39,
docs/reproduction.md,ok,17178,f392be6ff343dcb5aff4b56f789a5b95e11ccf07b4f9e41ec956b193219f6307,
docs/spatial_baseline_residual_fixed_report.md,ok,1511,f10ba21a96e707dafe73855eef76aa2f5b81cf8355cb71ae8bb7d1fb7685f91a,
docs/validation_strategy_and_ablation_report.md,ok,10876,4d28b1d41e499d6b1b2a2d72d8f0aa471a8973f63d9e5a40fb152b4fa20fa362,
