target,quantile,threshold_value,model,split,n_train,n_eval,n_positive,validation_auc,validation_average_precision,validation_f1,auc,average_precision,threshold,precision,recall,f1,positive_rate,predicted_positive_rate
A,0.9,20.48,ExtraTrees,test_2022_2026,938,34,5,0.6807843137254902,0.4493051555534178,0.48,0.8068965517241379,0.39903846153846156,0.5186153243986023,0.0,0.0,0.0,0.14705882352941177,0.029411764705882353
B,0.9,1.5880000000000007,ExtraTrees,test_2022_2026,938,34,4,0.7011494252873562,0.31535620153267213,0.33962264150943394,0.7583333333333334,0.42901583710407243,0.21053346540041593,0.16666666666666666,0.25,0.2,0.11764705882352941,0.17647058823529413
C,0.9,82.196,HistGB,test_2022_2026,938,34,3,0.6030061892130858,0.30929978616472786,0.34782608695652173,0.5591397849462365,0.18619883040935672,0.04478146793104674,0.0,0.0,0.0,0.08823529411764706,0.058823529411764705
D,0.9,51.70000000000001,ExtraTrees,test_2022_2026,938,34,4,0.6104651162790697,0.33121710869490106,0.2962962962962963,0.9333333333333333,0.8333333333333333,0.19567667727294075,0.3333333333333333,1.0,0.5,0.11764705882352941,0.35294117647058826
E,0.9,38.406,RandomForest,test_2022_2026,938,34,7,0.64,0.3676462961197994,0.4235294117647059,0.7407407407407407,0.5271226770278004,0.1447445366913216,0.3,0.8571428571428571,0.4444444444444444,0.20588235294117646,0.5882352941176471
F,0.9,125.22000000000003,HistGB,test_2022_2026,938,34,8,0.7990033222591363,0.4604253817467667,0.47058823529411764,0.6875,0.5183540723981901,0.030983438141173308,0.5,0.5,0.5,0.23529411764705882,0.23529411764705882
G,0.9,160.114,ExtraTrees,test_2022_2026,938,34,1,0.8011363636363636,0.3409668982383591,0.43243243243243246,0.6666666666666667,0.08333333333333333,0.2595549817443955,0.0,0.0,0.0,0.029411764705882353,0.14705882352941177
H,0.9,0.2,LogisticL2,test_2022_2026,938,34,6,0.6290196078431374,0.38626147111729114,0.4,0.5059523809523809,0.22611490212296664,0.6417554779159764,0.25,0.16666666666666666,0.2,0.17647058823529413,0.11764705882352941
A,0.95,25.789999999999985,RandomForest,test_2022_2026,938,34,3,0.8766666666666667,0.6243333333333333,0.64,0.7311827956989247,0.23333333333333334,0.19414614788783824,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.08823529411764706,0.08823529411764706
B,0.95,4.073999999999996,ExtraTrees,test_2022_2026,938,34,1,0.8336842105263157,0.4317317612380251,0.4,0.9696969696969697,0.5,0.25646448881625294,0.25,1.0,0.4,0.029411764705882353,0.11764705882352941
C,0.95,95.97799999999998,RandomForest,test_2022_2026,938,34,3,0.7214673913043479,0.1691963596674972,0.2631578947368421,0.5268817204301075,0.13223443223443224,0.11720185673918737,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.08823529411764706,0.2647058823529412
D,0.95,78.87999999999992,HistGB,test_2022_2026,938,34,2,0.8355978260869565,0.3851222884798202,0.42857142857142855,1.0,1.0,0.005626279015458649,0.2857142857142857,1.0,0.4444444444444444,0.058823529411764705,0.20588235294117646
E,0.95,43.32999999999999,ExtraTrees,test_2022_2026,938,34,4,0.5623342175066314,0.21861850725799473,0.29411764705882354,0.7666666666666666,0.6375,0.0971598514135248,0.15789473684210525,0.75,0.2608695652173913,0.11764705882352941,0.5588235294117647
F,0.95,166.4099999999999,ExtraTrees,test_2022_2026,938,34,4,0.7581521739130435,0.37567937163829934,0.35714285714285715,0.9666666666666667,0.6791666666666667,0.20072086468104094,0.8,1.0,0.8888888888888888,0.11764705882352941,0.14705882352941177
G,0.95,261.73999999999944,ExtraTrees,test_2022_2026,938,34,0,0.5755208333333334,0.2918846028113763,0.2222222222222222,,,0.34136242135424893,0.0,0.0,0.0,0.0,0.0
H,0.95,0.35299999999999954,ExtraTrees,test_2022_2026,938,34,2,0.6482334869431644,0.3859213250517598,0.5,0.375,0.08496732026143791,0.30272360854653574,0.0,0.0,0.0,0.058823529411764705,0.029411764705882353
