target,protocol,model,feature,mean_abs_shap
A,temporal,LightGBM,lat,0.11484120219108145
A,temporal,LightGBM,target_spatial_idw,0.05281604425747182
A,temporal,LightGBM,target_spatial_mean,0.045909376853251
A,temporal,LightGBM,year,0.042245089963533655
A,temporal,LightGBM,a,0.03839915307594864
A,temporal,LightGBM,target_spatial_min_dist,0.03789717827364032
A,temporal,LightGBM,m,0.03204618025756831
A,temporal,LightGBM,p,0.0314257637227698
A,temporal,LightGBM,lat_sq,0.028971688039373746
A,temporal,LightGBM,c,0.024736233695030953
A,temporal,LightGBM,lon_lat,0.023759139916675734
A,temporal,LightGBM,k,0.022645603753946232
B,temporal,LightGBM,lat,0.14099249018151758
B,temporal,LightGBM,target_spatial_idw,0.08777342574189934
B,temporal,LightGBM,target_spatial_mean,0.07954373192813953
B,temporal,LightGBM,lon,0.04292735543256399
B,temporal,LightGBM,year,0.042032701922277114
B,temporal,LightGBM,target_spatial_min_dist,0.03807682120605994
B,temporal,LightGBM,lon_lat,0.030321023827065585
B,temporal,LightGBM,j,0.028203477946530265
B,temporal,LightGBM,lat_sq,0.02783213373471342
B,temporal,LightGBM,i,0.022568802775891964
B,temporal,LightGBM,p,0.021193961817638062
B,temporal,LightGBM,h,0.020308880921866904
C,temporal,XGBoost,target_spatial_mean,0.08024895936250687
C,temporal,XGBoost,target_spatial_idw,0.06359576433897018
C,temporal,XGBoost,year,0.046375058591365814
C,temporal,XGBoost,a,0.04520971328020096
C,temporal,XGBoost,i,0.03354421630501747
C,temporal,XGBoost,q,0.028615690767765045
C,temporal,XGBoost,lon_lat,0.025456322357058525
C,temporal,XGBoost,c,0.02365967258810997
C,temporal,XGBoost,k,0.019968949258327484
C,temporal,XGBoost,lon,0.01719534769654274
C,temporal,XGBoost,m,0.016740359365940094
C,temporal,XGBoost,n,0.014744427986443043
D,temporal,XGBoost,target_spatial_idw,0.08089490979909897
D,temporal,XGBoost,lon_lat,0.044095229357481
D,temporal,XGBoost,target_spatial_mean,0.0424838624894619
D,temporal,XGBoost,g,0.030842650681734085
D,temporal,XGBoost,year,0.029446592554450035
D,temporal,XGBoost,target_spatial_min_dist,0.018628083169460297
D,temporal,XGBoost,h,0.01797245256602764
D,temporal,XGBoost,a,0.016141820698976517
D,temporal,XGBoost,p,0.015788918361067772
D,temporal,XGBoost,m,0.01557149551808834
D,temporal,XGBoost,d,0.015450709499418736
D,temporal,XGBoost,i,0.015396189875900745
E,temporal,LightGBM,target_spatial_mean,0.043248292936177775
E,temporal,LightGBM,i,0.038110911380026646
E,temporal,LightGBM,j,0.03207109302477249
E,temporal,LightGBM,lon,0.025043678779296853
E,temporal,LightGBM,p,0.019644645554682913
E,temporal,LightGBM,e,0.01731051276384387
E,temporal,LightGBM,q,0.01719486187009042
E,temporal,LightGBM,target_spatial_idw,0.01635126132704947
E,temporal,LightGBM,year,0.01439356679485275
E,temporal,LightGBM,lat,0.014393411306502525
E,temporal,LightGBM,b,0.014007333990921361
E,temporal,LightGBM,a,0.012993674310451354
F,temporal,LightGBM,target_spatial_idw,0.25911634321951027
F,temporal,LightGBM,year,0.08796845067373926
F,temporal,LightGBM,lat,0.07572056574458673
F,temporal,LightGBM,lon_lat,0.06731794307925787
F,temporal,LightGBM,b,0.05769062807336539
F,temporal,LightGBM,target_spatial_mean,0.05361943248689247
F,temporal,LightGBM,target_spatial_min_dist,0.04748665208533393
F,temporal,LightGBM,p,0.04417934058985774
F,temporal,LightGBM,a,0.04357025360050407
F,temporal,LightGBM,i,0.04214315365253455
F,temporal,LightGBM,q,0.03914173989845015
F,temporal,LightGBM,j,0.03705742579831495
G,temporal,XGBoost,target_spatial_mean,0.0827118530869484
G,temporal,XGBoost,lat,0.055659256875514984
G,temporal,XGBoost,target_spatial_idw,0.04542796313762665
G,temporal,XGBoost,b,0.03662363067269325
G,temporal,XGBoost,lon_lat,0.03009118139743805
G,temporal,XGBoost,a,0.023829886689782143
G,temporal,XGBoost,target_spatial_min_dist,0.022030271589756012
G,temporal,XGBoost,l,0.020913884043693542
G,temporal,XGBoost,p,0.020135382190346718
G,temporal,XGBoost,e,0.017180584371089935
G,temporal,XGBoost,f,0.01558378990739584
G,temporal,XGBoost,k,0.014916663058102131
H,temporal,CatBoost,target_spatial_mean,0.019923274387974668
H,temporal,CatBoost,target_spatial_idw,0.014186428611977515
H,temporal,CatBoost,i,0.005596071684936044
H,temporal,CatBoost,b,0.003919976615712134
H,temporal,CatBoost,target_spatial_min_dist,0.0036701007049990014
H,temporal,CatBoost,a,0.0034233704163702267
H,temporal,CatBoost,j,0.0032171745529474207
H,temporal,CatBoost,q,0.0024030418317992114
H,temporal,CatBoost,lon_lat,0.002262862352757546
H,temporal,CatBoost,lon,0.0022624352646772585
H,temporal,CatBoost,lon_sq,0.002251401798601644
H,temporal,CatBoost,p,0.0019900778939480487
