target,protocol,method,model,status,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape
A,temporal_2022_2026,spatial_baseline_residual_fixed,IDW_background_alpha0,ok,938,34,2000,2021,2022,2026,0.07519450450495979,0.09922212391253327,18.469395979836353,7.323437423546688,48.74882063660335
A,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,0.13992682518833288,0.15002272510821568,17.811282540418045,7.236145568199476,50.685454741721934
A,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,0.19680343872144834,0.15524360686153227,17.21228037931337,7.420382092197107,54.97062294004369
A,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,0.28698954433690627,0.07899607980437884,16.217183875129386,7.930700723668338,64.6926081940003
A,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,0.10245894511251008,0.1478640897181821,18.195108645824515,7.174729661208235,49.491838387844766
A,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,0.12462963804209659,0.15642595344972776,17.968979401031202,7.30297939904238,52.43823803950303
A,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,0.1536897808673804,0.09768080975753257,17.668199082001053,7.9682058404328515,61.59213349496188
A,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,0.1434609153088623,0.13041273822429256,17.774651079526894,7.413415006933398,50.55236845708224
A,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,0.19362249479072735,-0.4538679666890908,17.24633007515939,7.801844840619208,54.5684476743047
A,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,0.2836343350783548,-0.5464038327440304,16.255295647269868,8.235763873686734,59.99907912852881
A,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,0.16181996225341533,0.1959042969651279,17.5831284338512,7.078293137777877,47.91995571395969
A,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,0.24175174452116976,0.256743831851693,16.72373208708356,6.924765275151946,47.66297266063957
A,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,0.3815342826145761,0.30833476632170553,15.103768037573353,6.902954104896069,49.66457120386747
A,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,0.04125813866878991,0.013328297245533971,18.805216461080853,7.699644926993578,53.91190303070991
A,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-0.01196916763060396,-0.7201404538949683,19.320178388159945,8.441638543867908,61.65322861903256
A,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.1188127739242244,-1.1254084629384198,20.31450291283518,9.58472999264541,74.73709154894654
B,temporal_2022_2026,spatial_baseline_residual_fixed,IDW_background_alpha0,ok,938,34,2000,2021,2022,2026,-8.387295632119988,-2.6305155603291563,6.3011649234400595,2.6527484479316676,1162.966698571522
B,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-7.058700745106227,-2.4998957149311307,5.8382557208495935,2.5946018780680444,1108.4361441538197
B,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-6.118765118530692,-2.4578768585304687,5.487227053336105,2.566789755633553,1057.7420375334325
B,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-5.404871646694298,-2.4173699463680505,5.204821196745558,2.5793100495586163,959.3096262613292
B,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-6.566729875397784,-2.533095303630283,5.657241444703362,2.5554256137125564,1119.574466174492
B,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-5.0810645352801185,-2.4625299516199615,5.071546424614611,2.488437226922576,1080.018681574778
B,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-3.1144351048584067,-2.2876322723216753,4.171629284817451,2.3544604533426154,1000.9071123753495
B,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-6.9718225575643125,-2.4425203306953627,5.8067002911836205,2.4513048645875144,1039.8284012566612
B,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-5.78126153633322,-2.259426428941554,5.3555718028428645,2.309989659972629,922.1881255926538
B,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-4.071557518550938,-2.1278874127481266,4.63149582425425,2.094429892944754,726.0616903138903
B,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-6.1499199945841285,-2.468305398362457,5.499221215353017,2.422488243644903,1029.1044363796814
B,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-4.323751188325323,-2.231323420617861,4.7452541117012474,2.20923615807776,910.2701288352421
B,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-1.9323114098309708,-1.6924535489976105,3.521726653905891,1.8420285524373006,667.1158542957311
B,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-6.231007416215295,-2.350321177970146,5.530316702964612,2.4196994099171585,1094.1569604155488
B,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-4.787579378298036,-2.1931637984137473,4.9476512492056495,2.2731905919181252,1044.3124267346939
B,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-3.9736691658273395,-2.163260819483445,4.586580772340123,2.204382172442787,1015.4197052944365
C,temporal_2022_2026,spatial_baseline_residual_fixed,IDW_background_alpha0,ok,938,34,2000,2021,2022,2026,-0.16419420350110592,-0.6689072246065053,36.70657306922827,28.466471778353817,88.8727870133674
C,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-0.1715894970198073,-0.7096785041272511,36.822973818176756,29.39991671818639,92.72999751992064
