target,spatial_block,model,status,n_train,n_test,n_features,lon_min,lon_max,lat_min,lat_max,r2,r2_log1p,rmse,mae,mape
A,0,ExtraTrees,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.002387687076579992,0.07977072336734625,8.015019376224798,3.9330348431949766,35.4232451774492
A,0,HistGBR,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.02742352026226924,-0.0032740607687571366,8.114494434519026,4.118430515446165,36.129835824091074
A,0,LightGBM,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.020475688822892302,-0.025708197112639164,8.087011232744738,4.157704096108555,36.98282688497257
A,0,XGBoost,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,0.009388379842559247,0.03793192615568641,7.967799993713155,4.039044485874499,36.21106157989511
A,0,RF,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,0.020451430562243633,0.051559498665048054,7.923183281643483,4.063429356230558,36.92746118893007
A,0,ElasticNet,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.18121123097448177,-0.8782973008941124,8.700625959911392,4.69639633439905,39.38646458378411
B,0,ExtraTrees,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,0.00541061897960371,-0.13905926013152503,1.4719059669979258,0.5961290779742393,251.80259811468235
B,0,HistGBR,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.03490458195298762,-0.0809217108324507,1.5014411407984398,0.479722936460718,135.7229237337132
B,0,LightGBM,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.010790630196070738,-0.01818786000885053,1.4838457617982568,0.47589382856362283,141.74888037990155
B,0,XGBoost,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,0.005894662669999384,0.02750609057536968,1.4715477520822207,0.4615993757940955,143.27713185437787
B,0,RF,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,0.004723021398302052,-0.02382593604278216,1.4724146714644915,0.5100757622149714,188.5920811311683
B,0,ElasticNet,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.05044017501250653,-0.3300520945948655,1.5126686928362032,0.49958898221129855,108.1594443936988
C,0,ExtraTrees,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.3109926041895108,-0.20602813507706874,29.12683076029034,20.621127108380342,40.77585239871128
C,0,HistGBR,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.4037275382067109,-0.3737819727956828,30.139394389782318,21.180398708442663,40.13261174615104
C,0,LightGBM,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.37977977736542057,-0.3246544424171487,29.88119758655765,21.116360302408097,39.89114766905015
C,0,XGBoost,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.2034962004374461,-0.12251443382144855,27.90714913765833,20.026755838478216,40.50056697925209
C,0,RF,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.2258934243472328,-0.1264059329308802,28.165629964058578,20.019324110192393,39.552001595438796
