target,method,model,n_folds,n_test_total,fold_mean_r2,fold_median_r2,r2,r2_log1p,rmse,mae,mape
A,leave_one_spatial_block_out,ElasticNet,5,972,-0.5895789020204252,-0.18121123097448177,-0.013812004851400106,-0.8113933777187321,21.18298696909786,7.352516737461231,44.952841066822934
A,leave_one_spatial_block_out,ExtraTrees,5,972,-0.010956366786006467,-0.016750487530997393,0.06144299875241932,0.17379200810613193,20.381625204900402,6.191408659820287,45.965365568693514
A,leave_one_spatial_block_out,HistGBR,5,972,-0.005945147010677077,-0.027237672475623143,0.0856456523540221,0.15967521072120838,20.117117447407693,6.344219074305534,47.01404066836435
A,leave_one_spatial_block_out,LightGBM,5,972,-0.04493670380313179,-0.020475688822892302,0.07654707668447291,0.12484123186373919,20.21696059081648,6.461900417044441,48.55410929731242
A,leave_one_spatial_block_out,RF,5,972,0.015786556471756953,0.020451430562243633,0.07680902890879826,0.1600460757278086,20.214092954968148,6.5045824715710765,47.87263609879652
A,leave_one_spatial_block_out,XGBoost,5,972,0.001055955277309173,0.007932112302537542,0.053534259855711586,0.1771162729706256,20.467317817300295,6.215365525890868,44.80148774829887
B,leave_one_spatial_block_out,ElasticNet,5,972,-0.12009749450346079,-0.05044017501250653,-0.028130270132127322,-0.2892575483291906,4.868346588832369,1.1405986817676248,101.51075205526851
B,leave_one_spatial_block_out,ExtraTrees,5,972,-0.02810603443538533,-0.018436169264628433,0.01042021291528572,0.012828397761410204,4.776203517771085,1.20886138521969,244.919655240128
B,leave_one_spatial_block_out,HistGBR,5,972,-0.06518701618921936,-0.035328560942893716,0.004147827332764642,0.0011174228245868223,4.791316431520883,1.1345688855656153,158.51104213811084
B,leave_one_spatial_block_out,LightGBM,5,972,-0.05728317714647431,-0.037542611819304295,0.00337813229371986,0.022946414758638678,4.79316768026952,1.1414838631969229,165.6534161804822
B,leave_one_spatial_block_out,RF,5,972,-0.031814082854938586,-0.03978316525307202,0.004506541660828534,0.010998740460991696,4.790453417560011,1.1973728183349484,223.10799584521658
B,leave_one_spatial_block_out,XGBoost,5,972,-0.048299398402504926,-0.012549107407885396,-0.0005228593839818885,0.032547965424234215,4.802539261637374,1.131954144733353,171.17571722564935
C,leave_one_spatial_block_out,ElasticNet,5,972,-0.5257635817526347,-0.1538285375461237,-0.22896054977008085,-0.5337876631959697,38.437378372479074,25.118056698063224,62.6056399590075
C,leave_one_spatial_block_out,ExtraTrees,5,972,-0.14960452356987264,-0.06801635457091337,-0.08470232736207683,-0.09551248025605563,36.111046447457554,22.37711317234158,58.52376767169972
C,leave_one_spatial_block_out,HistGBR,5,972,-0.18081916942892406,-0.14269728943514437,-0.11260376370865077,-0.15999167260680092,36.57253382301402,23.087200216356415,60.770348647167
C,leave_one_spatial_block_out,LightGBM,5,972,-0.12988074718355577,-0.1157791816577649,-0.08104987935499097,-0.12315602976999518,36.05019798566094,22.81210429364321,60.713986716062905
C,leave_one_spatial_block_out,RF,5,972,-0.08508940959644617,-0.03809909705096848,-0.035513350927982135,-0.04495078882557957,35.282767200679025,21.787347884571957,58.06720695873675
C,leave_one_spatial_block_out,XGBoost,5,972,-0.1104218133368742,-0.07810776063504066,-0.04522081518949417,-0.0729939752182156,35.44776132277048,22.131228618756836,59.476830528338965
D,leave_one_spatial_block_out,ElasticNet,5,972,-0.6521699975046337,-0.16377169970030736,-0.08803370776626518,-1.3588227065848457,52.67638586527934,21.297254701482,46.48185477896383
D,leave_one_spatial_block_out,ExtraTrees,5,972,-0.06863417901924737,-0.04851656861692355,0.01798582571567664,0.03527179586865514,50.04419104976918,17.398655336127913,40.48723964916245
D,leave_one_spatial_block_out,HistGBR,5,972,-0.10763606375960814,-0.09296817978380822,-0.019651956544835203,-0.060608180697324654,50.99419891029059,17.743101416807786,39.05463017660253
D,leave_one_spatial_block_out,LightGBM,5,972,-0.07367836425465449,-0.059571887619314534,-0.0024403807805888356,-0.018511763449151175,50.56197989280519,17.850421882261138,40.907702754357
D,leave_one_spatial_block_out,RF,5,972,-0.053725609401916195,-0.050612159670478496,0.03296555643668797,0.04570082161296041,49.66103501129538,17.44848827187601,40.73617062200526
D,leave_one_spatial_block_out,XGBoost,5,972,-0.0843645088569271,-0.04145912110065031,-0.010622379137429583,0.02372411011622899,50.7679060071137,17.161701283308116,37.517068117722
E,leave_one_spatial_block_out,ElasticNet,5,972,-0.11205893266810381,-0.1163070529771788,-0.05311097583527413,-0.45211176354368776,29.59101958887875,8.563613164769809,24.001374319772445
E,leave_one_spatial_block_out,ExtraTrees,5,972,-0.06561179702357452,-0.06639271136684188,-0.027932952954875967,-0.16792283251469042,29.235145138882988,7.906393259168976,23.565445317742547
E,leave_one_spatial_block_out,HistGBR,5,972,-0.2570176698535811,-0.11360367663532678,-0.04421227251292925,-0.2766229378394083,29.46573349136635,8.685602529409302,26.68597510877583
E,leave_one_spatial_block_out,LightGBM,5,972,-0.15921225676315132,-0.05882073201893023,-0.03321753329997268,-0.24843866282668015,29.310197416014866,8.584823675681886,26.36110192666089
E,leave_one_spatial_block_out,RF,5,972,-0.17225647396733362,-0.12106269887092558,-0.05434829471075342,-0.2841166934457038,29.608397994271677,8.515137068458417,26.257164649331084
E,leave_one_spatial_block_out,XGBoost,5,972,-0.32482985426100097,-0.1237347254613308,-0.07303280688920788,-0.416785309075981,29.86959678682749,9.46802506798952,29.42205212079987
F,leave_one_spatial_block_out,ElasticNet,5,972,-0.2803811126656018,-0.11654034364413213,-0.03024263172236341,-1.1055321439284977,284.2562208176708,60.287692033318336,65.6134618371543
F,leave_one_spatial_block_out,ExtraTrees,5,972,0.027446957508566894,-0.00046535780312328967,0.004618512301997946,0.20863816536532132,279.40553096208447,53.458386249784226,74.93103931637093
F,leave_one_spatial_block_out,HistGBR,5,972,-0.057171995119960115,-0.04209052903746535,-0.008479526200255272,0.06364529520752349,281.23784540793264,54.88805194557268,62.36591723013733
F,leave_one_spatial_block_out,LightGBM,5,972,-0.037326115414163905,-0.0453850400207616,-0.00649464754106277,0.09484686157055444,280.9609444269146,54.22367428226355,63.45577950288981
F,leave_one_spatial_block_out,RF,5,972,0.006048465944031789,-0.004179306772613245,0.002065152199288711,0.18444901368362265,279.76366802332655,53.99391969228634,75.47347998035656
F,leave_one_spatial_block_out,XGBoost,5,972,-0.0542506526070331,-0.04038025076073293,-0.00766991142543727,0.13329545359653971,281.1249328370853,54.41613476043984,66.07760834651093
G,leave_one_spatial_block_out,ElasticNet,5,972,-0.3498436583951454,-0.05997543707805608,-0.02334025244530369,-1.5674669552396283,356.35203157441407,73.2385764088361,51.01877683590196
G,leave_one_spatial_block_out,ExtraTrees,5,972,-0.045888783872677454,-0.03407511362967708,-0.0013735911566976622,-0.045209852543210305,352.50661999031826,65.58205939354951,49.866824611736845
G,leave_one_spatial_block_out,HistGBR,5,972,-0.039509571979826984,-0.030531230122452957,-0.007730769715970975,-0.20807546505019925,353.62378652578343,67.26432053033095,48.02504683462468
G,leave_one_spatial_block_out,LightGBM,5,972,-0.07275551307229851,-0.04372551649767287,-0.015162472014421668,-0.2765771544484723,354.92532427240894,68.53032950179566,48.358154102632355
G,leave_one_spatial_block_out,RF,5,972,-0.06661606325793264,-0.027751806582415606,-0.008521028755098303,-0.14800618044100977,353.76241463798567,68.20752418310892,52.80395232987364
G,leave_one_spatial_block_out,XGBoost,5,972,-0.06681544068243524,-0.02723759732023079,-0.007131735468073774,-0.12184592197104127,353.51866705581756,65.89446866291814,46.128135395794814
