protocol,target,feature_set,method,model,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,A,external_plus_spatial_distribution,spatial_distribution_features,LightGBM,815,100,223,0.16405555775164793,0.09847910738597476,12.780797272118937,6.754863437171894,37.533193418377664
literature_2019_2020,B,external_plus_spatial_distribution,spatial_distribution_features,ExtraTrees,815,100,223,0.009582661899176226,-0.04702575708146539,2.163322341231025,0.9624277074783423,207.91124561862873
literature_2019_2020,C,spatial_distribution_only,spatial_distribution_features,XGBoost,815,100,139,0.0405640491940259,0.07160263094400077,51.327261914559436,24.222084960021974,36.394001375376305
literature_2019_2020,D,spatial_distribution_only,spatial_distribution_features,ElasticNet,815,100,139,0.29517875008381,0.02712627701423298,48.32752267387783,21.81424282555968,51.681810621111005
literature_2019_2020,E,spatial_distribution_only,spatial_distribution_features,ElasticNet,815,100,139,0.12045246296689727,0.0792132699750916,10.529244058079172,7.697927254993947,28.82686178194595
literature_2019_2020,F,external_plus_spatial_distribution,spatial_distribution_features,LightGBM,815,100,223,0.15568322860863448,0.23359044710932475,78.86239601160658,38.20291331260524,67.93020871954944
literature_2019_2020,G,external_plus_spatial_distribution,spatial_distribution_features,XGBoost,815,100,223,-0.013996421316696095,-0.0133586661708478,125.46881505138138,46.478013858947754,34.36578222849946
literature_2019_2020,H,external_plus_spatial_distribution,spatial_distribution_features,ElasticNet,815,100,223,0.12487024129666313,0.1898194349927108,0.3340081503118141,0.11426255432434047,63.08471294265706
temporal_2022_2026,A,external_plus_spatial_distribution,spatial_distribution_features,HistGBR,938,34,223,0.18963470819060202,0.18623297143759832,17.28892170569136,7.168860604758305,47.74466338801869
temporal_2022_2026,B,external_plus_spatial_distribution,spatial_distribution_features,XGBoost,938,34,223,0.10709058397375948,-0.031007168763372617,1.9433646586358873,0.9108511518520467,373.8480144917548
temporal_2022_2026,C,external_plus_spatial_distribution,spatial_distribution_features,XGBoost,938,34,223,0.044891842975476104,-0.09079382816674064,33.24737802296697,21.437148813584272,57.141966947099206
temporal_2022_2026,D,external_plus_spatial_distribution,spatial_distribution_features,ElasticNet,938,34,223,0.19229051698996125,0.32338032945224626,45.29390115986811,17.18253844558655,29.500856075468633
temporal_2022_2026,E,external_plus_spatial_distribution,spatial_distribution_features,ExtraTrees,938,34,223,0.45217267272298656,0.32567923034592206,18.011364854837716,8.773764733959245,21.862092023324056
temporal_2022_2026,F,spatial_distribution_only,spatial_distribution_features,LightGBM,938,34,139,0.18527541672335568,-0.33088118832361224,72.60940641237299,44.735727344986344,35.8099974024191
temporal_2022_2026,G,external_plus_spatial_distribution,spatial_distribution_features,XGBoost,938,34,223,0.10893557628803452,-0.20730868108194112,25.90121004917497,19.271868383071002,40.12374654143669
temporal_2022_2026,H,external_plus_spatial_distribution,spatial_distribution_features,HistGBR,938,34,223,-0.09457369046715325,-0.12440241048180933,0.24669967315401228,0.1284841229435556,218.6427174382166
