protocol,target,feature_set,method,model,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,A,spatial_distribution_only,spatial_distribution_features,ExtraTrees,815,100,139,-0.0514024926817378,-0.09855387877316724,14.33354914940925,7.029978547413787,45.73827239725149
literature_2019_2020,A,spatial_distribution_only,spatial_distribution_features,HistGBR,815,100,139,0.14636741934920006,0.07616664028334119,12.91530688456301,6.9793972359814385,36.82322488541765
literature_2019_2020,A,spatial_distribution_only,spatial_distribution_features,ElasticNet,815,100,139,0.022420576729217045,-0.010259426373262048,13.821184506289061,7.400297582400999,47.34298294862471
literature_2019_2020,A,spatial_distribution_only,spatial_distribution_features,XGBoost,815,100,139,0.1350064596530659,0.13870014402560027,13.000967448319775,6.558730395050048,35.7735693041962
literature_2019_2020,A,spatial_distribution_only,spatial_distribution_features,LightGBM,815,100,139,0.09450781593139901,0.06434401432431713,13.30183608334734,7.079998962954622,37.838018317315374
literature_2019_2020,A,external_plus_spatial_distribution,spatial_distribution_features,ExtraTrees,815,100,223,-0.07991129937795227,-0.09280039148839836,14.526576698463204,7.127359859011606,48.13708440549888
literature_2019_2020,A,external_plus_spatial_distribution,spatial_distribution_features,HistGBR,815,100,223,0.15978437068729934,0.12149539097942608,12.813406869784124,6.785040660112605,35.18106328361002
literature_2019_2020,A,external_plus_spatial_distribution,spatial_distribution_features,ElasticNet,815,100,223,0.0665016823718717,0.034767475263952186,13.505977086729773,7.012158065010214,47.157049698371324
literature_2019_2020,A,external_plus_spatial_distribution,spatial_distribution_features,XGBoost,815,100,223,0.11451696885353846,0.07272033731615901,13.15404612295682,6.704919810028075,38.966460452560156
literature_2019_2020,A,external_plus_spatial_distribution,spatial_distribution_features,LightGBM,815,100,223,0.16405555775164793,0.09847910738597476,12.780797272118937,6.754863437171894,37.533193418377664
literature_2019_2020,B,spatial_distribution_only,spatial_distribution_features,ExtraTrees,815,100,139,0.00955590510770088,-0.09496862666233308,2.1633515628387334,0.99484849834217,216.92703260477927
literature_2019_2020,B,spatial_distribution_only,spatial_distribution_features,HistGBR,815,100,139,-0.02009322652367973,-0.16924944516352247,2.1954929662416642,1.0301143449903682,217.15015850783982
literature_2019_2020,B,spatial_distribution_only,spatial_distribution_features,ElasticNet,815,100,139,-0.4407744345450757,-0.5316736572473015,2.6092164925927985,1.263504352864786,289.2148812784481
literature_2019_2020,B,spatial_distribution_only,spatial_distribution_features,XGBoost,815,100,139,-0.00782699656183361,-0.09055308788942162,2.182253064080027,0.9828233534729481,205.01718262647694
literature_2019_2020,B,spatial_distribution_only,spatial_distribution_features,LightGBM,815,100,139,-0.03491924593928175,-0.13805618014162868,2.2113900433032496,0.9985939473242174,205.91629887614405
literature_2019_2020,B,external_plus_spatial_distribution,spatial_distribution_features,ExtraTrees,815,100,223,0.009582661899176226,-0.04702575708146539,2.163322341231025,0.9624277074783423,207.91124561862873
literature_2019_2020,B,external_plus_spatial_distribution,spatial_distribution_features,HistGBR,815,100,223,-0.06390340120456939,-0.17563507254701638,2.2421425308035694,1.0555344135859277,215.89170775930234
literature_2019_2020,B,external_plus_spatial_distribution,spatial_distribution_features,ElasticNet,815,100,223,-0.5553437843165787,-0.6358453103925994,2.71097377967309,1.2670124050744582,279.62020176847307
literature_2019_2020,B,external_plus_spatial_distribution,spatial_distribution_features,XGBoost,815,100,223,-0.024750610402617612,-0.11020010312613482,2.20049917970774,0.9935311700439453,215.08111265776634
literature_2019_2020,B,external_plus_spatial_distribution,spatial_distribution_features,LightGBM,815,100,223,-0.012427230251203847,-0.11053535716071283,2.1872278487107812,1.017119067798942,214.42176901735272
literature_2019_2020,C,spatial_distribution_only,spatial_distribution_features,ExtraTrees,815,100,139,-0.003443136544424741,0.05290049247234008,52.49119823309574,23.91599198866641,33.73990709385091
literature_2019_2020,C,spatial_distribution_only,spatial_distribution_features,HistGBR,815,100,139,-0.036121948714177066,-0.04532976510759279,53.33908239117386,25.116886163223967,36.986886809854674
literature_2019_2020,C,spatial_distribution_only,spatial_distribution_features,ElasticNet,815,100,139,-0.02928608450423309,-0.11396178778452826,53.16283763821236,25.13297966665219,38.044434046925254
literature_2019_2020,C,spatial_distribution_only,spatial_distribution_features,XGBoost,815,100,139,0.0405640491940259,0.07160263094400077,51.327261914559436,24.222084960021974,36.394001375376305
literature_2019_2020,C,spatial_distribution_only,spatial_distribution_features,LightGBM,815,100,139,-0.03662806922694828,-0.052163483421383106,53.3521082265233,25.132039026922943,36.26399878580021
literature_2019_2020,C,external_plus_spatial_distribution,spatial_distribution_features,ExtraTrees,815,100,223,0.01954227593128155,0.07310680450819251,51.88651947605036,23.560994600771178,33.727570514195264
literature_2019_2020,C,external_plus_spatial_distribution,spatial_distribution_features,HistGBR,815,100,223,-0.0312517550205329,-0.09674987189141904,53.21357706788433,25.375016335526343,37.078200062545314
literature_2019_2020,C,external_plus_spatial_distribution,spatial_distribution_features,ElasticNet,815,100,223,-0.06834273570317762,-0.18830374632232516,54.16208868237152,25.731797019217865,39.46447062035571
literature_2019_2020,C,external_plus_spatial_distribution,spatial_distribution_features,XGBoost,815,100,223,0.03474898587460151,0.08779357085750905,51.482572120842214,23.701031817321777,35.03834680048692
literature_2019_2020,C,external_plus_spatial_distribution,spatial_distribution_features,LightGBM,815,100,223,0.016152368549752327,0.03975239310131762,51.976140231287154,24.11918587622035,35.419578381275464
literature_2019_2020,D,spatial_distribution_only,spatial_distribution_features,ExtraTrees,815,100,139,-0.059814798287900706,-0.251858672508372,59.26114362467618,24.503704265715005,62.377745263837184
literature_2019_2020,D,spatial_distribution_only,spatial_distribution_features,HistGBR,815,100,139,-0.03421800380440354,-0.293711069338342,58.54112787888971,25.169314138212002,58.921141852179524
literature_2019_2020,D,spatial_distribution_only,spatial_distribution_features,ElasticNet,815,100,139,0.29517875008381,0.02712627701423298,48.32752267387783,21.81424282555968,51.681810621111005
literature_2019_2020,D,spatial_distribution_only,spatial_distribution_features,XGBoost,815,100,139,0.03370493887018067,-0.20850042708783012,56.58612029692493,24.2755557345581,58.037998895660536
