protocol,target,method,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,A,hybrid_spatiotemporal_sequence,XGBoost,ok,815,100,54,0.09470886034429415,0.07922495361870452,13.300359312852063,6.499627145690917,39.59095896794747
literature_2019_2020,B,hybrid_spatiotemporal_sequence,ElasticNet,ok,815,100,54,0.0644033867792837,0.03620701227622669,2.102598928122304,0.9373208298671223,206.94642953980673
literature_2019_2020,C,zone_temporal_baseline,ZoneLinearTrend,ok,815,100,2,0.017093144030203455,-0.04121793492340542,51.9512839569934,25.458197626778183,44.668805481412846
literature_2019_2020,D,zone_temporal_baseline,ZoneLinearTrend,ok,815,100,2,0.05274259106740675,-0.38885377325269355,56.02592608790181,27.420512447858492,79.74200681796074
literature_2019_2020,E,hybrid_spatiotemporal_sequence,XGBoost,ok,815,100,54,0.06473612887758728,0.08085108589046097,10.857619375428971,7.657217662811279,27.62798958673502
literature_2019_2020,F,hybrid_spatiotemporal_sequence,LightGBM,ok,815,100,54,0.09765040869964059,0.20407289552028451,81.52760279152324,39.64159178192954,68.07450067777503
literature_2019_2020,G,hybrid_spatiotemporal_sequence,XGBoost,ok,815,100,54,0.02329743672614648,0.016091289462880853,123.13988653460454,49.885089255676256,39.90850477402406
literature_2019_2020,H,hybrid_spatiotemporal_sequence,HistGBR,ok,815,100,54,0.47048136955665765,0.46669119117347846,0.2598133488044701,0.12665411722770112,113.91754247582394
temporal_2022_2026,A,hybrid_spatiotemporal_sequence,LightGBM,ok,938,34,54,0.21503972221451229,0.12045300348424293,17.015759231349932,7.426875960762005,52.39703677783808
temporal_2022_2026,B,hybrid_spatiotemporal_sequence,LightGBM,ok,938,34,54,0.16157378901570085,-0.01936887172346413,1.8831417959737733,0.9256855136387263,392.8884745566219
temporal_2022_2026,C,pure_temporal_baseline,LastAnnualMean,ok,938,34,1,-0.018935870156034262,-0.2701647078276852,34.340336770450435,23.978035805626604,68.00359958124169
temporal_2022_2026,D,hybrid_spatiotemporal_sequence,LightGBM,ok,938,34,54,0.2468274259049621,0.3849434721960254,43.73804688547724,15.743947027062283,30.254462496268975
temporal_2022_2026,E,hybrid_spatiotemporal_sequence,LightGBM,ok,938,34,54,0.3845840402154145,0.2699257171971896,19.0901418292995,9.70612039570695,23.745840397883164
temporal_2022_2026,F,hybrid_spatiotemporal_sequence,LightGBM,ok,938,34,54,-0.02501905007449645,-0.8669545000658592,81.44294029886683,52.37403804861725,41.026248111814446
temporal_2022_2026,G,hybrid_spatiotemporal_sequence,XGBoost,ok,938,34,54,-0.24510972454839353,-0.31330119779776355,30.617470926654722,22.155094997630403,43.48622121582915
temporal_2022_2026,H,hybrid_spatiotemporal_sequence,XGBoost,ok,938,34,54,-0.002829249874443329,0.013649202261881266,0.2361345676332728,0.11727431173403474,194.31439747626078
