protocol,target,method,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,A,pure_temporal_baseline,LastAnnualMean,ok,815,100,1,-0.0073903200403431235,-0.19239004984918218,14.030337738951175,8.285049104477613,56.293722794165014
literature_2019_2020,A,pure_temporal_baseline,LinearAnnualTrend,ok,815,100,1,-0.012254463652922043,-0.019951861208264532,14.064169409937934,7.090522341867512,41.81416808947008
literature_2019_2020,A,pure_temporal_baseline,ARIMAAnnualMean,ok,815,100,1,-0.012576283622300455,-0.06358203183656164,14.066404900640695,7.342392178363541,45.385647538291046
literature_2019_2020,A,pure_temporal_baseline,LSTMAnnualMean,ok,815,100,1,-0.022482373875269523,-0.057524800330774006,14.135043646860208,7.241138924287904,43.8716838094075
literature_2019_2020,A,zone_temporal_baseline,ZoneLinearTrend,ok,815,100,2,-0.08350530772958731,-0.37339233913858383,14.550729270893385,9.313349121253435,68.72786494415527
literature_2019_2020,A,zone_temporal_baseline,ZoneLastAnnualMean,ok,815,100,2,-2.0720594283681955,-1.4064675625446696,24.501013250819323,14.821817479862592,105.27537274659062
literature_2019_2020,A,hybrid_spatiotemporal_sequence,ElasticNet,ok,815,100,54,0.08419314460783034,0.08734545937351168,13.377383696296862,6.556424925551821,43.373264537661065
literature_2019_2020,A,hybrid_spatiotemporal_sequence,HistGBR,ok,815,100,54,-0.033569213951074595,-0.07905299995622461,14.2114706092668,7.188411785430734,46.02370348231903
literature_2019_2020,A,hybrid_spatiotemporal_sequence,LightGBM,ok,815,100,54,-0.05703528480682807,-0.12045756066252755,14.371893197270262,7.064798940150009,45.680217421785564
literature_2019_2020,A,hybrid_spatiotemporal_sequence,XGBoost,ok,815,100,54,0.09470886034429415,0.07922495361870452,13.300359312852063,6.499627145690917,39.59095896794747
literature_2019_2020,B,pure_temporal_baseline,LastAnnualMean,ok,815,100,1,-0.05586492707423707,-0.6850276984828718,2.2336560561211702,1.4135887761194028,479.10651960942243
literature_2019_2020,B,pure_temporal_baseline,LinearAnnualTrend,ok,815,100,1,-0.06857676820552006,-0.7457631119428467,2.247061620798798,1.4485989400581034,496.2390604036099
literature_2019_2020,B,pure_temporal_baseline,ARIMAAnnualMean,ok,815,100,1,-0.14185702149267088,-1.11430202822662,2.322832969122312,1.6517541337756372,589.4455158470737
literature_2019_2020,B,pure_temporal_baseline,LSTMAnnualMean,ok,815,100,1,-0.09164318696185059,-0.8898111409843328,2.2711847973568324,1.5300480693317176,533.2914493328323
literature_2019_2020,B,zone_temporal_baseline,ZoneLinearTrend,ok,815,100,2,-1.437040691401211,-2.2980522764559224,3.3934660489464012,2.298567012760666,598.4811564309528
literature_2019_2020,B,zone_temporal_baseline,ZoneLastAnnualMean,ok,815,100,2,-3.0138919223531655,-1.9821602076916829,4.35506815008616,2.3835906942075336,523.4672571297516
literature_2019_2020,B,hybrid_spatiotemporal_sequence,ElasticNet,ok,815,100,54,0.0644033867792837,0.03620701227622669,2.102598928122304,0.9373208298671223,206.94642953980673
literature_2019_2020,B,hybrid_spatiotemporal_sequence,HistGBR,ok,815,100,54,0.032275219789819065,-0.08787389334416273,2.138395585431201,1.0359684090103214,253.55642551363184
literature_2019_2020,B,hybrid_spatiotemporal_sequence,LightGBM,ok,815,100,54,-0.003168457010188641,-0.13942511326744622,2.1772036422377585,1.0915794210307974,247.1387209581168
literature_2019_2020,B,hybrid_spatiotemporal_sequence,XGBoost,ok,815,100,54,-0.014486829282866376,-0.18149735798928934,2.1894514769858726,1.06318579780221,251.90722118244574
literature_2019_2020,C,pure_temporal_baseline,LastAnnualMean,ok,815,100,1,-0.01945750272565272,-0.27428558488890564,52.9084046568928,28.738840746268664,55.93402311625365
literature_2019_2020,C,pure_temporal_baseline,LinearAnnualTrend,ok,815,100,1,-0.013525339329079067,-0.011420702553591955,52.7542446163648,24.860014398489756,40.24948793113828
literature_2019_2020,C,pure_temporal_baseline,ARIMAAnnualMean,ok,815,100,1,-0.006802894249598124,-0.1464499896636724,52.579001082309894,26.75708538639471,49.24512470050109
literature_2019_2020,C,pure_temporal_baseline,LSTMAnnualMean,ok,815,100,1,-0.07988226416665967,-0.501544792800954,54.45381449040032,33.01363881545525,61.74997533089298
literature_2019_2020,C,zone_temporal_baseline,ZoneLinearTrend,ok,815,100,2,0.017093144030203455,-0.04121793492340542,51.9512839569934,25.458197626778183,44.668805481412846
literature_2019_2020,C,zone_temporal_baseline,ZoneLastAnnualMean,ok,815,100,2,-0.0668874125876664,-0.3776493850892835,54.12518563661306,30.79545867626155,58.46301013642559
literature_2019_2020,C,hybrid_spatiotemporal_sequence,ElasticNet,ok,815,100,54,-0.12111014900495043,-0.26693758761145236,55.48355058731406,26.504197837580588,35.91634927581388
literature_2019_2020,C,hybrid_spatiotemporal_sequence,HistGBR,ok,815,100,54,-0.03545455082687088,-0.4206485084972573,53.321900955487926,28.246743847121923,42.85309971331743
literature_2019_2020,C,hybrid_spatiotemporal_sequence,LightGBM,ok,815,100,54,0.010522327836965495,-0.3202102910093012,52.12464409063493,27.640112810776582,43.05298513462212
literature_2019_2020,C,hybrid_spatiotemporal_sequence,XGBoost,ok,815,100,54,0.014119410818981826,-0.04669720441368996,52.02981255009909,25.02569566390991,36.61087761936694
literature_2019_2020,D,pure_temporal_baseline,LastAnnualMean,ok,815,100,1,-0.0003066060801204529,-0.13903849806264845,57.573364149911214,23.674444029850736,59.48562164134346
literature_2019_2020,D,pure_temporal_baseline,LinearAnnualTrend,ok,815,100,1,-0.001770190956195572,-0.12923156187900942,57.61546759339692,23.54950180878235,58.621063791313546
literature_2019_2020,D,pure_temporal_baseline,ARIMAAnnualMean,ok,815,100,1,-0.004167353392197093,-0.10083629124574878,57.684361193275684,23.12232614514921,56.108081954841616
literature_2019_2020,D,pure_temporal_baseline,LSTMAnnualMean,ok,815,100,1,-0.01351617665859628,-0.09041925228997982,57.95226052581123,23.0218797743863,54.23845671129307
literature_2019_2020,D,zone_temporal_baseline,ZoneLinearTrend,ok,815,100,2,0.05274259106740675,-0.38885377325269355,56.02592608790181,27.420512447858492,79.74200681796074
literature_2019_2020,D,zone_temporal_baseline,ZoneLastAnnualMean,ok,815,100,2,0.002643192406531436,-0.22820180211172048,57.48841259160711,25.481074334873252,66.01471555399723
literature_2019_2020,D,hybrid_spatiotemporal_sequence,ElasticNet,ok,815,100,54,0.04118272663376077,-0.14864659365613675,56.36674589172102,23.583447229989062,62.00977684464172
literature_2019_2020,D,hybrid_spatiotemporal_sequence,HistGBR,ok,815,100,54,-0.014848037499105349,-0.2724443208783418,57.99032553546012,25.355818071695566,73.8524392162902
literature_2019_2020,D,hybrid_spatiotemporal_sequence,LightGBM,ok,815,100,54,-0.009995887632333389,-0.31439924309004175,57.8515289500186,25.3931603861123,76.99664545224323
literature_2019_2020,D,hybrid_spatiotemporal_sequence,XGBoost,ok,815,100,54,-0.002393741308543973,-0.2869004040989678,57.633396134612425,24.494329001159667,67.76311698525645
literature_2019_2020,E,pure_temporal_baseline,LastAnnualMean,ok,815,100,1,-0.24130902899962536,-0.3441928489444188,12.508565041475425,10.280055074626864,42.169921234727944
literature_2019_2020,E,pure_temporal_baseline,LinearAnnualTrend,ok,815,100,1,-0.11890873901300103,-0.2143649954572162,11.875854466352315,9.306567137537076,37.80282979766673
literature_2019_2020,E,pure_temporal_baseline,ARIMAAnnualMean,ok,815,100,1,-0.12226129314739276,-0.21386155708661425,11.893632800044898,9.284146178545813,37.65290111098875
literature_2019_2020,E,pure_temporal_baseline,LSTMAnnualMean,ok,815,100,1,-0.10458242002658036,-0.19022876001973965,11.799581312749268,9.08001383857212,36.69536112213693
literature_2019_2020,E,zone_temporal_baseline,ZoneLinearTrend,ok,815,100,2,-0.14035935777027797,-0.17405246192396873,11.989150151301244,8.969902597714913,34.9547062358584
literature_2019_2020,E,zone_temporal_baseline,ZoneLastAnnualMean,ok,815,100,2,-0.9163975021902848,-0.4421071261799361,15.542122655538865,10.812171478914948,41.295632164834245
literature_2019_2020,E,hybrid_spatiotemporal_sequence,ElasticNet,ok,815,100,54,0.038048618349837526,0.009008263766742464,11.01143945746468,7.4860084779637335,28.890398035460336
