target,model,family,split,status,n_samples,note,r2,r2_log1p,rmse,mae,mape
A,RF,bagging,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.5013268499299295,0.8576190658877724,14.856498960791795,2.9977106455513973,14.664904867534887
A,RF_raw,bagging_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8749561060167341,0.830157353874918,7.439431153836896,2.5603398781259887,20.050647137559093
A,ExtraTrees,bagging,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.7055201620258752,0.9563513843853372,11.416586381865713,1.65361858683985,6.276968103478205
A,ExtraTrees_raw,bagging_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,1.0,1.0,9.27743974610858e-14,4.2922912595050164e-14,2.89016671365173e-13
A,HistGBR,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.6419317240776898,0.9369825958777088,12.589005024240038,2.2077240490147685,9.621236041380994
A,HistGBR_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.7251576094279828,0.8349029986356108,11.029360776658336,2.7088635102453384,17.88321937505662
A,ElasticNet,linear,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.10916888525378143,0.26687787551086806,19.85665878853593,5.869278286034679,41.859840643564425
A,PLSR,linear,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.10459460255041919,0.26492325831361707,19.90757397785321,5.9385267728730495,41.97496026292355
A,XGBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.6115719334400598,0.676910305198112,13.111844371978092,4.097548488867725,26.527328960867813
A,XGBoost_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.9050554382005767,0.5699613861100477,6.482515016972759,3.835160962653847,36.96045519430214
A,LightGBM,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8142346618828535,0.9619476589808508,9.067568090382528,1.6645332794805874,8.327811340326637
A,LightGBM_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.9200424108382786,0.8967284277922851,5.948922755389705,1.7398482565654148,14.506684170613351
A,CatBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.5353498340544258,0.6195217831191557,14.340739027221218,4.463262562239261,29.350055307518748
A,CatBoost_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8823600327994784,0.5249680870139009,7.215823996807483,4.172904356617887,38.979612153238605
A,NGBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.6773479567798139,0.6623866407461658,11.950214318643809,4.1674507317747,27.92846923927487
B,RF,bagging,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.4122115224871751,0.824395796902015,3.681018077980023,0.6495622869261595,63.657906497498885
B,RF_raw,bagging_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8638118333117385,0.7353405240024642,1.7718506122810513,0.5372032569642297,129.82285260302945
B,ExtraTrees,bagging,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.7199385071100086,0.9448244932135805,2.540879772731188,0.4003465669820242,26.703202936080938
B,ExtraTrees_raw,bagging_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,1.0,1.0,1.8587226966138682e-14,3.7735518299500584e-15,3.191381698341799e-13
B,HistGBR,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.4882857849067017,0.8859859141566023,3.4345603897639925,0.5347616742876916,43.66085908353517
B,HistGBR_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.7573466563932134,0.6668372793408839,2.3651057077466415,0.6415891769574688,133.96397989060338
B,ElasticNet,linear,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.06362692685976634,0.20048924923664813,4.6460285516493265,1.0801339500422174,177.98981493920553
B,PLSR,linear,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.06352530400281142,0.19889039274540432,4.646280657299817,1.0871027595802079,179.88907931095162
B,XGBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.5965010973250147,0.7041466986145917,3.0498508082967364,0.7140123207490631,103.82922962353187
B,XGBoost_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.9037488219443166,0.5902987993425173,1.489568374327136,0.6653651214775955,194.86346984724426
B,LightGBM,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8226582828247678,0.9649255990475372,2.021914891458457,0.31795303352478566,33.057229647823796
B,LightGBM_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.9391354400194719,0.858541269965654,1.184512531010063,0.3562217663873942,98.06312454165796
B,CatBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.5098053402215488,0.6595671003787015,3.3615664764160003,0.7746579555770196,111.82479938590149
B,CatBoost_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.881820078491211,0.5449818250291592,1.6505522037965963,0.7337365619525389,209.8348248335713
B,NGBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.6671678021227471,0.7153755486566682,2.769938219064921,0.6775842989430618,107.79424727370785
C,RF,bagging,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.6070460153867748,0.837220332373877,21.73479940399486,8.647889191048126,16.59126658607633
C,RF_raw,bagging_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8591262674300888,0.8104707907595378,13.013670270235764,7.604178389917699,20.169962958073974
C,ExtraTrees,bagging,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.7986827659016155,0.9499105545157832,15.556978995831509,3.938403017111224,6.955810067322345
C,ExtraTrees_raw,bagging_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,1.0,1.0,2.1583220078460134e-13,1.5079044551639844e-13,2.8466478320966953e-13
C,HistGBR,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8443790948879462,0.9523152719240894,13.67787896342755,4.994060996773413,8.822629354365038
C,HistGBR_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8079131592192804,0.9003397883346468,15.196150804302285,5.509066587034544,12.779036436524708
C,ElasticNet,linear,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.020560986612429666,0.12593346536452132,34.314169118006134,20.526359006601247,49.902655339628794
C,PLSR,linear,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.02247467375332568,0.1272183891280314,34.28063017862191,20.5241286873199,49.81914780341619
C,XGBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.4202935020421428,0.5943119327132083,26.399084861085793,14.379813317665445,30.19897757381858
C,XGBoost_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.6883623336090356,0.5080828089777585,19.355739105690304,13.793651993111819,38.763729991540956
C,LightGBM,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8793608054998897,0.9626153301857641,12.042842380637376,4.505938535850716,7.940720541233643
C,LightGBM_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.9147080789273564,0.901154194187155,10.126018955539799,4.678788165595624,12.674223448015415
C,CatBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.35016967132097443,0.5347711872133817,27.95019075593403,15.497423822184755,33.21723633071212
C,CatBoost_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.6095985478031247,0.41346419398043965,21.664092438100237,15.61281278951483,43.77395494690363
C,NGBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.39914210064252253,0.5485480621335936,26.876373969603424,15.412760762586277,32.54991282370322
D,RF,bagging,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.5826633419257903,0.8349435239359816,32.624064134713116,8.400315280309247,14.54425833218475
D,RF_raw,bagging_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8695414213941977,0.790389517127914,18.24026385797461,7.355038805001583,20.392213776740476
D,ExtraTrees,bagging,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.803266013752922,0.9535195567407162,22.399302303592087,4.481455516352817,6.1303521920626505
D,ExtraTrees_raw,bagging_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,1.0,1.0,1.6277981282950544e-13,9.991230522391074e-14,2.845467170667884e-13
D,HistGBR,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.6960605340609294,0.9199972115901741,27.841225199439034,6.083224270710766,9.612625025791369
D,HistGBR_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8034370038172076,0.6402213992203002,22.38956608365035,7.27447985525814,19.48606583354653
D,ElasticNet,linear,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.12480161291795866,0.19956445346934215,47.24415106463989,16.20030366361972,37.6512078072466
D,PLSR,linear,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.12739727678706492,0.19801869998062072,47.17404067777141,16.207147982785497,37.80274870874351
D,XGBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.6090006223260294,0.6231151443124876,31.577869693290424,11.573320016027381,25.990404426392118
D,XGBoost_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8447059595756873,0.5443575252880675,19.900875829959247,10.988254683575414,34.221316203839656
D,LightGBM,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.861648959148289,0.957850963277052,18.783910513755142,4.55845952984789,7.975125332325303
D,LightGBM_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.9407987035064819,0.8719037268288377,12.287411534932462,4.805183602866223,14.797290118344161
D,CatBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.518889861602523,0.5741249465473863,35.02813780656634,12.529162626182343,27.692546952447916
D,CatBoost_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8376828878079621,0.5233797799860187,20.345902030202872,11.380019956011893,35.5133437282923
D,NGBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.6218219773117613,0.6108270111048016,31.055815546718957,11.715482102974065,26.687558976652774
E,RF,bagging,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.31068676227463055,0.7646258157040926,23.940387153164473,3.606886500863165,8.13398536457905
E,RF_raw,bagging_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8646122847146673,0.8275443204384484,10.609929291865246,2.9263332280785077,8.739696885508382
E,ExtraTrees,bagging,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.41972800978477887,0.8876319776802419,21.96537710638975,2.2702863291209994,4.058254110111862
E,ExtraTrees_raw,bagging_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,1.0,1.0,1.2605943543163483e-13,9.434976805320651e-14,2.9529557678426456e-13
E,HistGBR,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.39254046482959026,0.8875072592941075,22.474060034577175,2.692028468651059,5.199157676591859
E,HistGBR_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.5411248277305447,0.7760130045428442,19.533053527425164,3.6702592212682137,9.656276646315607
